metric,phase_local_peak,correction,alpha
PC2,20.54313745711569,Benjamini-Hochberg FDR,0.05
PC2,2.704514094673132,Benjamini-Hochberg FDR,0.05
PC2,10.722449807598785,Benjamini-Hochberg FDR,0.05
PC2,23.556026199450585,Benjamini-Hochberg FDR,0.05
PC2,9.485231477323355,Benjamini-Hochberg FDR,0.05
PC2,3.2176471342294093,Benjamini-Hochberg FDR,0.05
PC2,0.2034031716493061,Benjamini-Hochberg FDR,0.05
PC2,22.748151085831374,Benjamini-Hochberg FDR,0.05
PC2,22.31173660456136,Benjamini-Hochberg FDR,0.05
PC2,16.852966588646098,Benjamini-Hochberg FDR,0.05
PC2,20.365534740267016,Benjamini-Hochberg FDR,0.05
PC2,21.47453397001783,Benjamini-Hochberg FDR,0.05
PC2,23.3983885212531,Benjamini-Hochberg FDR,0.05
PC2,0.08917343005209322,Benjamini-Hochberg FDR,0.05
PC2,17.668922435521573,Benjamini-Hochberg FDR,0.05
PC2,20.70159126310167,Benjamini-Hochberg FDR,0.05
PC2,4.048524670961509,Benjamini-Hochberg FDR,0.05
PC2,0.011244625181423995,Benjamini-Hochberg FDR,0.05
PC2,18.65349904628127,Benjamini-Hochberg FDR,0.05
PC2,19.32560214203018,Benjamini-Hochberg FDR,0.05
PC2,20.994238712418404,Benjamini-Hochberg FDR,0.05
PC2,0.8051140586901524,Benjamini-Hochberg FDR,0.05
PC2,21.613388399671503,Benjamini-Hochberg FDR,0.05
PC2,17.281791777534615,Benjamini-Hochberg FDR,0.05
PC2,18.728652250307544,Benjamini-Hochberg FDR,0.05
PC2,2.6053804727148844,Benjamini-Hochberg FDR,0.05
PC2,20.836547801484475,Benjamini-Hochberg FDR,0.05
PC2,17.05416360144713,Benjamini-Hochberg FDR,0.05
PC2,6.421543120682868,Benjamini-Hochberg FDR,0.05
PC2,9.503857903191225,Benjamini-Hochberg FDR,0.05
PC2,10.695505599005,Benjamini-Hochberg FDR,0.05
PC2,20.41276434302719,Benjamini-Hochberg FDR,0.05
PC2,20.455837308965723,Benjamini-Hochberg FDR,0.05
PC2,23.033450758581395,Benjamini-Hochberg FDR,0.05
PC2,5.516174034789161,Benjamini-Hochberg FDR,0.05
PC2,1.8776122579114505,Benjamini-Hochberg FDR,0.05
PC2,0.6351802689135919,Benjamini-Hochberg FDR,0.05
PC2,21.056044168376047,Benjamini-Hochberg FDR,0.05
PC2,3.003975772940077,Benjamini-Hochberg FDR,0.05
PC2,3.4353656009493463,Benjamini-Hochberg FDR,0.05
PC2,19.70917264179864,Benjamini-Hochberg FDR,0.05
PC2,2.2842577111476254,Benjamini-Hochberg FDR,0.05
PC2,6.024331402063536,Benjamini-Hochberg FDR,0.05
PC2,3.740813358129232,Benjamini-Hochberg FDR,0.05
PC2,19.924050834586797,Benjamini-Hochberg FDR,0.05
PC2,6.154405754845486,Benjamini-Hochberg FDR,0.05
PC2,0.08328605480416407,Benjamini-Hochberg FDR,0.05
PC2,21.608064783639307,Benjamini-Hochberg FDR,0.05
PC2,21.932808521235508,Benjamini-Hochberg FDR,0.05
PC2,23.316443573564808,Benjamini-Hochberg FDR,0.05
PC2,5.5690615899602225,Benjamini-Hochberg FDR,0.05
PC2,1.1816664066392892,Benjamini-Hochberg FDR,0.05
PC2,0.9751914896217837,Benjamini-Hochberg FDR,0.05
PC2,18.928938229015447,Benjamini-Hochberg FDR,0.05
PC2,4.769531841466211,Benjamini-Hochberg FDR,0.05
