ACCOUNTID,game_count
211675192,2688
212187468,2402
212262756,2325
211657898,2323
211664101,2269
212037884,2251
212337310,2179
212183768,2126
210587765,2113
1663299,2104
211153548,2091
212003752,2066
211121950,2064
203485685,2053
211779365,2035
209346310,2012
209198353,2006
211199698,1986
210818942,1929
209689496,1924
212052750,1923
212443973,1920
211911998,1913
211887001,1906
208860391,1891
201386161,1886
212379405,1884
211270097,1878
211821944,1873
205085599,1872
212115149,1871
212814195,1865
210757653,1849
211724037,1838
212532265,1832
211410624,1831
210352956,1830
212724923,1827
211189274,1817
211297189,1811
205813756,1798
201851816,1787
211279574,1781
202677610,1780
212552967,1777
211421088,1776
211450722,1774
203866899,1771
211527049,1765
212081616,1750
202638483,1745
212193637,1741
211918000,1739
212968431,1735
212038220,1734
212404224,1728
211005198,1723
203074936,1719
200062702,1714
212828977,1709
211361460,1707
212062539,1707
204679614,1699
212588230,1695
202252055,1694
211372893,1680
211260004,1678
209623141,1673
211872803,1670
212392604,1668
211481706,1659
211476115,1657
211168452,1656
211996425,1653
212585124,1649
211813032,1643
211984541,1642
212134860,1641
208864033,1641
211942049,1641
211668950,1640
211844119,1637
209505322,1635
210015846,1632
211206123,1631
211107880,1628
211322206,1628
212149106,1627
212312315,1627
205695194,1626
212110837,1622
212965285,1612
203236999,1611
211424710,1608
212112778,1601
211867692,1599
211091761,1599
205475764,1593
212267674,1592
211522807,1591
205004324,1590
206071945,1590
211325702,1589
211328650,1587
211030805,1583
211865875,1580
205096631,1578
211508405,1577
210594336,1573
211600422,1572
210810375,1570
210624754,1569
204827780,1564
212007712,1560
211933407,1560
211548395,1558
209763345,1553
211615441,1548
211448308,1547
203152959,1543
205412161,1537
207954942,1537
212271036,1536
211942109,1536
212379450,1535
212477170,1524
209568013,1519
212051928,1514
212169706,1504
211416545,1502
204312827,1502
210656157,1500
212000803,1500
212218751,1497
203813030,1493
208915301,1486
200220360,1485
205708478,1485
211431429,1484
202697935,1482
209789032,1480
205285395,1480
212747180,1480
211551670,1479
211993810,1477
211965083,1475
211972624,1473
211112302,1470
209045553,1467
210843615,1465
211170935,1464
212181786,1464
211668003,1463
210484069,1462
212052092,1461
212171670,1460
212105857,1458
211833832,1457
210381202,1454
211129725,1451
211150424,1449
200099764,1446
211492107,1446
209586892,1445
211535431,1444
211862878,1444
211606168,1443
211787957,1442
205491259,1434
212305912,1432
206719684,1430
209473875,1430
210761428,1429
211972727,1427
211786486,1426
591699,1425
209958806,1424
212147672,1424
200070682,1422
211392816,1421
1402330,1420
211986272,1419
212517391,1416
1260644,1412
212151480,1410
211696950,1409
212026163,1409
211661794,1407
210727177,1406
200659368,1405
1333020,1404
211711589,1400
211422278,1400
211548100,1398
212132818,1396
210647043,1396
211354038,1395
211224789,1394
211186324,1394
212242038,1394
212393657,1392
205631756,1391
211552189,1391
212565306,1391
202230563,1390
210852850,1390
207058261,1389
211820059,1389
209319872,1389
211399545,1388
211182101,1388
211494092,1386
210630357,1385
211579381,1382
212351991,1379
212378844,1379
211846393,1379
211745439,1378
211814673,1377
210924715,1377
212283955,1373
211969990,1370
201292963,1370
204336906,1363
211687902,1363
211655836,1362
211396814,1360
211481366,1360
209999400,1360
212874881,1360
212569315,1359
594074,1358
205140530,1354
212972788,1354
211252070,1354
211866402,1354
211814591,1352
210687395,1352
211443195,1349
210604136,1349
209533498,1349
204572904,1347
201908700,1343
204922133,1343
212121260,1342
211306464,1342
203172796,1342
206651718,1341
209590512,1340
208847851,1339
211262234,1335
212548044,1335
205604400,1333
211915242,1331
209936135,1331
202386845,1331
211479726,1328
209570861,1327
211660354,1326
212815734,1325
211088697,1323
211397291,1323
209860056,1320
211955441,1316
205833713,1316
211275484,1316
208244508,1315
210785027,1314
212818608,1314
211523846,1314
201922640,1314
211763969,1313
211529092,1310
202326639,1309
211756030,1308
211351905,1308
211895304,1306
211187915,1305
211375085,1304
212235249,1300
211031894,1300
210232174,1299
210312904,1299
211605592,1297
211392664,1296
212449259,1296
1570690,1295
209836705,1294
211742328,1294
211087475,1294
211474786,1294
212475993,1289
212098659,1289
211730076,1287
211659781,1286
211821751,1286
211414786,1285
211544660,1285
212251044,1284
211493757,1284
213542992,1284
212451829,1284
205503503,1283
212087362,1280
212289485,1280
211099885,1280
212228103,1278
206208737,1277
212222187,1277
542741,1276
205418570,1275
211507056,1275
212991255,1275
203372088,1274
210808062,1274
201059219,1273
212191366,1269
201809472,1268
212167256,1268
205504360,1267
210654936,1267
209339053,1267
211480797,1266
211664798,1266
212368311,1264
204522973,1264
211335362,1263
211897982,1263
212094042,1263
211612245,1261
205130246,1260
211063499,1259
206222837,1259
212336766,1258
202971689,1258
211717114,1255
211833868,1254
212119194,1254
212089946,1253
211296773,1252
212228453,1252
202187059,1252
213156500,1251
211817576,1250
211526227,1248
212010087,1248
206529669,1248
206113265,1247
203590034,1247
209684857,1244
201232821,1244
204301242,1243
205959590,1243
211036257,1240
212204120,1238
209953239,1237
205465551,1237
210400399,1237
205732439,1236
211293824,1236
212135636,1236
209768329,1235
211429787,1235
200432400,1234
203584043,1233
212019026,1232
201122893,1231
211440610,1230
203564933,1229
213087288,1228
211874412,1228
211248531,1227
200427428,1227
202392287,1226
211964683,1226
209074364,1225
211307868,1225
211781671,1225
202545925,1224
212471540,1221
211519296,1220
204673999,1220
210926607,1219
209088563,1219
212203460,1219
211741672,1218
211352654,1218
212011021,1218
202362825,1217
212336746,1217
209131338,1215
213033380,1214
211769912,1214
211856198,1214
212026950,1213
210288668,1212
212743700,1209
211921848,1209
211951247,1209
211334948,1208
212158512,1208
210342871,1207
211395363,1207
211900412,1207
211061567,1207
212188752,1206
207892865,1206
212131489,1206
211550386,1206
211595416,1206
203959114,1204
210601040,1204
201025012,1204
211560298,1203
211441167,1202
211772181,1202
211373233,1202
211973168,1202
211494568,1201
211368633,1200
213228191,1198
200542086,1198
212634130,1198
212601426,1197
205771390,1196
204266239,1196
212368638,1195
212295159,1194
211905153,1193
200996054,1193
211100324,1193
1414448,1193
1151248,1192
209374186,1192
211967158,1192
203681660,1190
212674850,1190
206936421,1188
211515139,1188
211992615,1187
203127837,1187
211227534,1186
209921027,1186
209332646,1185
211911479,1184
210838852,1184
210591454,1184
202009245,1183
201733381,1183
210409863,1182
208368237,1182
211746947,1181
211366218,1180
209066622,1179
211668979,1179
211163963,1178
211451677,1176
209540064,1176
211050173,1176
207436328,1175
471741,1174
211083300,1173
212162573,1173
200640880,1172
211854308,1172
211081405,1172
212322574,1171
211088394,1171
212181714,1167
210791920,1167
212453622,1167
210092489,1166
202397251,1166
212354473,1165
209557287,1164
212395734,1163
211781906,1163
205715287,1163
211937445,1163
209043244,1161
211723990,1161
212818949,1161
211706887,1161
211341821,1160
212436822,1159
212305760,1158
212310808,1158
212383492,1157
210893162,1157
212242440,1157
210841998,1157
210104131,1157
212722961,1156
208795897,1156
209982701,1155
212906854,1154
205380611,1154
213124438,1154
212055015,1154
211554573,1153
209994951,1153
211267812,1153
209456095,1153
1402106,1153
211161861,1152
212065923,1151
201095174,1151
211988071,1150
211254013,1150
207368080,1150
211986903,1150
211309245,1150
211231954,1150
210948001,1149
1078444,1148
211877132,1148
202517984,1147
210311579,1147
211611162,1147
212807056,1147
211311724,1146
211782287,1145
207924918,1144
202400143,1144
211396312,1144
211931993,1143
210470950,1143
200111234,1142
204954100,1141
204277905,1141
210778488,1140
205038333,1140
211109043,1139
210613439,1139
212533744,1139
212489355,1139
212360832,1139
204762930,1139
211405436,1138
211153443,1138
211431687,1138
210459068,1138
212431500,1137
212999615,1136
212081194,1133
211382969,1133
211596059,1133
204348485,1133
212385879,1133
209801373,1131
212229815,1131
211486137,1130
212047940,1130
211569586,1128
212026264,1127
212814642,1127
211863841,1126
211824105,1126
211746838,1125
211725663,1124
211606294,1124
202540975,1123
211680373,1123
211023572,1123
212141803,1122
211159660,1122
211703329,1122
212478014,1121
204379576,1121
212780907,1121
211108730,1121
210770598,1121
212060020,1121
212177023,1121
212883305,1120
210593399,1120
211770145,1120
210419992,1120
212774304,1119
209648722,1118
211556222,1117
212569902,1117
204782208,1117
211670685,1117
211841919,1116
203949444,1116
212250235,1115
201377316,1114
203823192,1114
211325721,1113
203078586,1113
687499,1113
211304480,1113
211828993,1112
211441218,1111
209822719,1111
211933445,1110
211319285,1110
210640392,1110
203890561,1109
204480524,1108
205570967,1107
212436425,1107
211975091,1106
211739205,1106
212434492,1106
212189885,1105
210477422,1105
211486751,1105
200247831,1105
210124376,1105
201835315,1104
1079717,1103
211355438,1102
211875408,1101
209328754,1101
210779479,1100
212878878,1100
211935248,1099
204009228,1099
211187055,1099
204268401,1099
212923281,1098
211624186,1098
211629989,1097
1289858,1097
212267680,1096
212860281,1096
212912337,1096
207365257,1095
201154642,1095
689279,1094
203628249,1094
211629406,1093
211702454,1093
211977930,1093
211686070,1093
211199711,1093
205891478,1092
211570148,1092
204227983,1091
211300346,1091
212098933,1091
211772878,1091
211966027,1090
213003196,1090
211500208,1090
202010435,1090
211393838,1090
212649541,1090
634354,1089
213244739,1089
201193536,1088
202365425,1088
212028175,1088
212074412,1088
211803463,1088
212477855,1087
205458819,1087
211641370,1087
206102383,1087
211633260,1087
210088923,1086
211143903,1086
208919509,1085
210783621,1085
212638019,1085
201535908,1085
211363059,1084
211033429,1084
211417792,1083
211630337,1083
209900042,1083
212578553,1083
211486338,1083
210059440,1082
213218959,1082
211596085,1082
212449082,1081
209279625,1080
1574958,1080
210198028,1080
210670980,1080
212247524,1080
212373561,1079
210251182,1079
212442131,1079
211423262,1079
212249215,1079
205488012,1079
211942935,1079
212111211,1079
211281216,1077
211347308,1077
204944550,1077
211945892,1076
211945089,1076
211592826,1076
211308829,1076
211936750,1075
211727544,1075
209183715,1074
212168461,1074
204717927,1074
211328147,1074
211876530,1073
202095844,1073
201065366,1073
211213007,1073
203217920,1072
209810263,1072
212151209,1071
211022931,1070
204540949,1069
211042686,1069
209565320,1069
203837994,1068
212111344,1068
205624595,1068
205523538,1067
211581248,1067
209489898,1066
211321986,1066
211646838,1066
205032673,1066
210208379,1065
210771423,1065
211685366,1064
211445021,1064
210936704,1063
200268035,1063
212253145,1061
212223701,1060
211268124,1059
211440558,1058
200737253,1058
814308,1058
212268594,1057
211238079,1057
211850277,1056
1553155,1056
212323375,1055
212640313,1055
205695038,1055
211844657,1055
204625461,1055
211953212,1055
210880292,1054
212364962,1053
211235464,1053
210535618,1052
211098939,1052
210874875,1052
210602371,1052
212059252,1052
211582579,1051
212739956,1051
212218860,1051
211581243,1051
209258316,1050
765016,1050
210585242,1049
212490492,1048
211939708,1048
210938281,1048
211798706,1048
211146357,1047
211894978,1047
210781008,1046
210629763,1046
211595946,1046
203719113,1046
211820892,1045
202230005,1044
212497564,1044
210486415,1044
210752449,1043
212959661,1043
211206041,1043
205540975,1043
209826076,1042
211660538,1041
211613426,1040
213523347,1040
211615736,1040
212083295,1040
211504245,1040
211567523,1040
211769842,1039
211357399,1039
211463155,1038
211942328,1038
201715745,1037
212338106,1037
211566148,1036
204866868,1035
207412981,1035
211646350,1034
210879294,1034
209466176,1034
212090828,1034
210157634,1034
212391299,1034
209911483,1033
210996133,1033
211831773,1033
211615386,1032
207400332,1032
211369839,1031
201152670,1031
211075216,1031
211647969,1029
212156609,1029
212901836,1029
212855349,1028
211930101,1028
212253362,1027
212277098,1027
211784722,1027
212555564,1026
213218604,1026
212013443,1025
200117979,1025
212372943,1025
211554923,1025
211903522,1025
212874275,1025
211647425,1024
210953249,1024
210174843,1023
211251332,1022
211127563,1022
202876295,1021
212304918,1021
211284147,1021
201214480,1021
212533224,1021
210768930,1020
1118994,1020
211958998,1020
211090288,1020
211625746,1020
211736956,1020
208053754,1019
211909693,1019
210642170,1019
213329598,1019
203483009,1019
211352212,1018
211368719,1018
204280389,1018
209476628,1017
211823922,1017
212214074,1016
208230532,1016
211753279,1016
212437118,1015
210443368,1015
205741291,1015
208898780,1015
212275991,1015
211450511,1015
211328037,1014
210699271,1014
211500869,1014
210911725,1013
212855570,1013
210638120,1013
208402050,1013
212494089,1012
212049969,1012
213057690,1012
208770488,1012
211973474,1011
211500854,1011
211377341,1011
210215575,1011
210803888,1011
212159767,1011
212569007,1011
210958742,1011
600986,1011
202722622,1010
212632867,1010
212247493,1010
211487135,1010
210330515,1009
