local_hour,win_rate,n_win_records
0,0.4891049668302934,956445
1,0.4884797953333539,778632
2,0.48842653717668116,564265
3,0.48883009267272765,363969
4,0.4892802276733721,220667
5,0.49303130943256973,140916
6,0.49074704462462093,113099
7,0.4920923623445826,140750
8,0.4896314938141558,226889
9,0.4885274941967079,369187
10,0.48816047430081355,527935
11,0.488205368677626,635501
12,0.4893668585277189,726220
13,0.48784494227256586,935084
14,0.4892360010118248,1122724
15,0.4891793291832885,1202236
16,0.4893592843427159,1205605
17,0.4898494061661108,1180128
18,0.48930920983598025,1191259
19,0.4895425713043443,1230465
20,0.4895438158725093,1240749
21,0.48961962244977403,1220235
22,0.49005862595947125,1158190
23,0.48923583216734196,1084199
