metric,phase_local_peak,correction,alpha
PC2,11.276404647505545,Benjamini-Hochberg FDR,0.05
PC2,3.970744848293956,Benjamini-Hochberg FDR,0.05
PC2,14.636324148757396,Benjamini-Hochberg FDR,0.05
PC2,13.947978812814492,Benjamini-Hochberg FDR,0.05
PC2,7.644980744490625,Benjamini-Hochberg FDR,0.05
PC2,16.2529589069254,Benjamini-Hochberg FDR,0.05
PC2,11.755632071816763,Benjamini-Hochberg FDR,0.05
PC2,9.110247879817358,Benjamini-Hochberg FDR,0.05
PC2,5.506189163671973,Benjamini-Hochberg FDR,0.05
PC2,15.409315372462807,Benjamini-Hochberg FDR,0.05
PC2,11.071076880085426,Benjamini-Hochberg FDR,0.05
PC2,8.449279029183653,Benjamini-Hochberg FDR,0.05
PC2,18.68641961016518,Benjamini-Hochberg FDR,0.05
PC2,14.918081765927326,Benjamini-Hochberg FDR,0.05
PC2,12.712847838466454,Benjamini-Hochberg FDR,0.05
PC2,18.927820240909934,Benjamini-Hochberg FDR,0.05
PC2,11.062282713704283,Benjamini-Hochberg FDR,0.05
PC2,13.853903119223656,Benjamini-Hochberg FDR,0.05
PC2,8.836421423950494,Benjamini-Hochberg FDR,0.05
PC2,19.174914054789248,Benjamini-Hochberg FDR,0.05
PC2,7.931881180778293,Benjamini-Hochberg FDR,0.05
PC2,7.671319714996706,Benjamini-Hochberg FDR,0.05
PC2,11.67173040499199,Benjamini-Hochberg FDR,0.05
PC2,9.024232291008746,Benjamini-Hochberg FDR,0.05
PC2,10.947779028245426,Benjamini-Hochberg FDR,0.05
PC2,9.319169036779272,Benjamini-Hochberg FDR,0.05
PC2,14.235761650846191,Benjamini-Hochberg FDR,0.05
PC2,18.229308216537426,Benjamini-Hochberg FDR,0.05
PC2,15.602255966410262,Benjamini-Hochberg FDR,0.05
PC2,16.69677060788296,Benjamini-Hochberg FDR,0.05
PC2,4.4923084045382495,Benjamini-Hochberg FDR,0.05
PC2,7.685007269386762,Benjamini-Hochberg FDR,0.05
PC2,0.1158064566637691,Benjamini-Hochberg FDR,0.05
PC2,15.103958331063225,Benjamini-Hochberg FDR,0.05
PC2,15.092272662997054,Benjamini-Hochberg FDR,0.05
PC2,11.664102959955708,Benjamini-Hochberg FDR,0.05
PC2,19.075461796930156,Benjamini-Hochberg FDR,0.05
PC2,9.495767406940546,Benjamini-Hochberg FDR,0.05
PC2,10.045571980098568,Benjamini-Hochberg FDR,0.05
PC2,9.890779321200917,Benjamini-Hochberg FDR,0.05
PC2,14.216702707970187,Benjamini-Hochberg FDR,0.05
PC2,14.040506464813696,Benjamini-Hochberg FDR,0.05
PC2,12.48352997606218,Benjamini-Hochberg FDR,0.05
PC2,6.538542052224745,Benjamini-Hochberg FDR,0.05
PC2,4.163850884222095,Benjamini-Hochberg FDR,0.05
PC2,16.21026776727445,Benjamini-Hochberg FDR,0.05
PC2,6.123278838608672,Benjamini-Hochberg FDR,0.05
PC2,15.579977599965286,Benjamini-Hochberg FDR,0.05
PC2,16.937498145508933,Benjamini-Hochberg FDR,0.05
PC2,11.815230729953383,Benjamini-Hochberg FDR,0.05
PC2,10.258436269270671,Benjamini-Hochberg FDR,0.05
PC2,4.633290945124722,Benjamini-Hochberg FDR,0.05
PC2,10.393623557985752,Benjamini-Hochberg FDR,0.05
PC2,3.6174287352065653,Benjamini-Hochberg FDR,0.05
PC2,11.731569583338526,Benjamini-Hochberg FDR,0.05
PC2,4.241397774307565,Benjamini-Hochberg FDR,0.05
PC2,16.486348631887935,Benjamini-Hochberg FDR,0.05
PC2,16.6677447629541,Benjamini-Hochberg FDR,0.05
PC2,3.1441591306488514,Benjamini-Hochberg FDR,0.05
PC2,3.5369737538350776,Benjamini-Hochberg FDR,0.05
PC2,0.9842366089535481,Benjamini-Hochberg FDR,0.05
PC2,14.430999023146496,Benjamini-Hochberg FDR,0.05
PC2,17.397584859763292,Benjamini-Hochberg FDR,0.05
PC2,12.84136344888596,Benjamini-Hochberg FDR,0.05
PC2,20.99797292755666,Benjamini-Hochberg FDR,0.05
PC2,2.451342990684703,Benjamini-Hochberg FDR,0.05
PC2,14.037899811037384,Benjamini-Hochberg FDR,0.05
