ACCOUNTID,game_count
219826127,2732
219825187,2710
212845813,2620
218041867,2595
220416597,2516
219911978,2383
219965740,2380
202646417,2309
217823722,2274
219562754,2255
219840755,2240
34955309,2140
218620789,2126
23371934,2120
220007663,2119
220450573,2097
218950141,2054
219870355,2038
219777078,2031
219706770,2013
220078070,1976
205773220,1969
219472489,1952
217459068,1948
35106591,1936
219472931,1931
219239135,1926
219575062,1919
219797801,1914
219840095,1890
220392545,1876
217871324,1872
219457108,1862
219503462,1857
220065265,1856
220215523,1849
217614704,1814
219385570,1812
220670873,1809
219745388,1800
208049070,1797
220562177,1795
219989773,1794
219828257,1786
219875085,1774
219576351,1772
219459478,1749
220626990,1746
219400226,1736
220348788,1731
220020216,1730
218667974,1718
220141353,1708
218502030,1705
220011912,1704
219946901,1700
217220058,1698
219685734,1693
219941544,1693
219670994,1691
218924911,1688
218457975,1688
220253181,1686
220375338,1684
218806796,1684
219470016,1683
220422388,1681
219873644,1679
219584165,1677
219575977,1673
220345238,1666
217433583,1666
211175926,1659
219634526,1657
217632832,1652
36005224,1650
219949544,1648
220079285,1643
216452443,1637
219592272,1633
219331102,1626
219655777,1625
219750427,1620
219965094,1616
219138572,1615
206610759,1609
219741636,1608
219916229,1606
35357571,1604
219879486,1596
218796163,1595
219462337,1588
219648612,1586
217633088,1580
220302689,1575
218214505,1571
220133209,1570
218726850,1567
220214464,1564
220025626,1563
219571253,1555
209839820,1554
220586040,1552
218295791,1548
219608658,1540
215027926,1538
219672168,1538
218797091,1537
220028100,1532
212707446,1529
219712363,1528
34209775,1528
218683776,1527
220003890,1526
218713900,1525
219995802,1524
210765491,1523
219621675,1522
210504070,1516
219676764,1514
220821468,1511
219826304,1509
219229665,1507
219405687,1505
203595575,1504
217842544,1503
32084151,1501
220229374,1501
220627415,1499
219379569,1498
219443297,1496
220028548,1495
38824524,1494
219502128,1488
219623176,1487
205976162,1487
218258161,1485
219805003,1484
219368906,1483
220179254,1479
219541973,1477
219401978,1477
209822803,1476
219915695,1476
215728290,1472
219908069,1468
219596589,1468
39992962,1463
40465856,1463
219417901,1459
218417507,1458
220140907,1453
31837687,1451
32077580,1450
219951170,1448
36745666,1448
218587986,1446
220128021,1443
217135794,1442
219441037,1442
205851804,1441
219543047,1441
219417594,1440
218473312,1438
219213606,1437
221387648,1437
219395429,1436
220064557,1436
219564063,1435
219587788,1435
219749431,1434
218748138,1432
206414244,1427
219230953,1426
219719464,1426
211786948,1424
220023472,1424
217441412,1422
219930770,1422
215991477,1421
220639513,1420
212079640,1418
219456069,1416
217835026,1415
39090215,1414
218462974,1413
218123515,1413
219692068,1411
218983581,1411
220455442,1411
25562977,1407
218041992,1406
219939742,1402
220549548,1401
219307892,1400
219081949,1396
220095612,1395
206634645,1394
219386944,1393
219692094,1392
219879178,1391
39553158,1389
205935279,1386
219961430,1386
219283330,1386
201513076,1385
220172301,1384
