local_hour,win_rate,n_win_records
0,0.48978406811118463,938583
1,0.4903987934631645,653772
2,0.48882813327300556,415508
3,0.4891995918428595,266564
4,0.4897017795413874,179934
5,0.4902901835310847,135018
6,0.49032616869281864,127664
7,0.4912979789759621,178177
8,0.48911157397536614,304865
9,0.49015128248313306,504685
10,0.4906080390582833,729986
11,0.49003444738313406,942597
12,0.490619108336793,1081507
13,0.4907719745470663,1234121
14,0.49061086096578377,1371425
15,0.49058656749141727,1468646
16,0.4907802013642837,1525196
17,0.4897923839521772,1541692
18,0.49009293200053056,1590733
19,0.4896917707855216,1675409
20,0.48993946220551715,1747173
21,0.48998875592559177,1692447
22,0.4903476087727674,1499732
23,0.4904448577318589,1239385
