metric,phase_local_peak,correction,alpha
PC1,3.8138405399626927,Benjamini-Hochberg FDR,0.05
PC1,0.16421061440902562,Benjamini-Hochberg FDR,0.05
PC1,16.409880923595203,Benjamini-Hochberg FDR,0.05
PC1,1.327942803424821,Benjamini-Hochberg FDR,0.05
PC1,4.884447924822403,Benjamini-Hochberg FDR,0.05
PC1,2.726231133561161,Benjamini-Hochberg FDR,0.05
PC1,3.4664997084948648,Benjamini-Hochberg FDR,0.05
PC1,1.9916647362866264,Benjamini-Hochberg FDR,0.05
PC1,19.711037333807926,Benjamini-Hochberg FDR,0.05
PC1,15.501454960334042,Benjamini-Hochberg FDR,0.05
PC1,9.817523719051938,Benjamini-Hochberg FDR,0.05
PC1,14.083038747172948,Benjamini-Hochberg FDR,0.05
PC1,20.242374409770957,Benjamini-Hochberg FDR,0.05
PC1,22.976378161908073,Benjamini-Hochberg FDR,0.05
PC1,19.93642583611349,Benjamini-Hochberg FDR,0.05
PC1,16.91742278073498,Benjamini-Hochberg FDR,0.05
PC1,21.923329574467182,Benjamini-Hochberg FDR,0.05
PC1,6.895974657326186,Benjamini-Hochberg FDR,0.05
PC1,22.669153920845304,Benjamini-Hochberg FDR,0.05
PC1,22.4613700555655,Benjamini-Hochberg FDR,0.05
PC1,3.7457247940454295,Benjamini-Hochberg FDR,0.05
PC1,3.9694148901796167,Benjamini-Hochberg FDR,0.05
PC1,19.0133892209707,Benjamini-Hochberg FDR,0.05
PC1,19.721028823267513,Benjamini-Hochberg FDR,0.05
PC1,2.687729550883915,Benjamini-Hochberg FDR,0.05
PC1,22.552024537110327,Benjamini-Hochberg FDR,0.05
PC1,1.2579317822713274,Benjamini-Hochberg FDR,0.05
PC1,14.93518165605566,Benjamini-Hochberg FDR,0.05
PC1,19.054513082050022,Benjamini-Hochberg FDR,0.05
PC1,20.437895232134462,Benjamini-Hochberg FDR,0.05
PC1,4.331472622118935,Benjamini-Hochberg FDR,0.05
PC1,21.203137798516295,Benjamini-Hochberg FDR,0.05
PC1,12.462355315271799,Benjamini-Hochberg FDR,0.05
PC1,7.672703929494611,Benjamini-Hochberg FDR,0.05
PC1,14.607791916517241,Benjamini-Hochberg FDR,0.05
PC1,6.31472919692988,Benjamini-Hochberg FDR,0.05
PC1,12.574121644006352,Benjamini-Hochberg FDR,0.05
PC1,20.797882998936355,Benjamini-Hochberg FDR,0.05
PC1,15.764968247522171,Benjamini-Hochberg FDR,0.05
PC1,17.27979568127739,Benjamini-Hochberg FDR,0.05
PC1,16.322497733777375,Benjamini-Hochberg FDR,0.05
PC1,4.110178358063704,Benjamini-Hochberg FDR,0.05
PC1,4.061661536406831,Benjamini-Hochberg FDR,0.05
PC1,16.109426724483747,Benjamini-Hochberg FDR,0.05
PC1,8.680829142648175,Benjamini-Hochberg FDR,0.05
PC1,10.717191777316616,Benjamini-Hochberg FDR,0.05
PC1,21.986367218083355,Benjamini-Hochberg FDR,0.05
PC1,8.155794488279021,Benjamini-Hochberg FDR,0.05
PC1,0.6214568822912625,Benjamini-Hochberg FDR,0.05
PC1,21.546447344664017,Benjamini-Hochberg FDR,0.05
PC1,2.080013937670242,Benjamini-Hochberg FDR,0.05
PC1,4.252951733651495,Benjamini-Hochberg FDR,0.05
PC1,21.25922446641879,Benjamini-Hochberg FDR,0.05
PC1,3.9882281834627116,Benjamini-Hochberg FDR,0.05
PC1,1.0234774594438174,Benjamini-Hochberg FDR,0.05
PC1,15.021843620087548,Benjamini-Hochberg FDR,0.05
PC1,4.614099915750393,Benjamini-Hochberg FDR,0.05
PC1,5.2427183806141935,Benjamini-Hochberg FDR,0.05
PC1,18.104041449564242,Benjamini-Hochberg FDR,0.05
PC1,5.455811062452745,Benjamini-Hochberg FDR,0.05
PC1,2.1543590447243246,Benjamini-Hochberg FDR,0.05
PC1,4.534559545875267,Benjamini-Hochberg FDR,0.05
PC1,20.399805739678257,Benjamini-Hochberg FDR,0.05
PC1,15.15410282857531,Benjamini-Hochberg FDR,0.05
PC1,3.4691083575384227,Benjamini-Hochberg FDR,0.05
PC1,9.26124181503648,Benjamini-Hochberg FDR,0.05
PC1,3.991039202430657,Benjamini-Hochberg FDR,0.05
PC1,10.549981183716405,Benjamini-Hochberg FDR,0.05
PC1,5.515836586664664,Benjamini-Hochberg FDR,0.05
PC1,17.656526393323116,Benjamini-Hochberg FDR,0.05
PC1,0.48960650992570365,Benjamini-Hochberg FDR,0.05
PC1,12.03952499862024,Benjamini-Hochberg FDR,0.05
PC1,20.60642065481852,Benjamini-Hochberg FDR,0.05
PC1,3.3425372460215694,Benjamini-Hochberg FDR,0.05
PC1,19.904509947694535,Benjamini-Hochberg FDR,0.05
PC1,1.7129878298982557,Benjamini-Hochberg FDR,0.05
PC1,0.8430490628392704,Benjamini-Hochberg FDR,0.05
PC1,22.62371742438793,Benjamini-Hochberg FDR,0.05
PC1,4.269662255663883,Benjamini-Hochberg FDR,0.05
PC1,5.1815995307572225,Benjamini-Hochberg FDR,0.05
PC1,19.127657836336326,Benjamini-Hochberg FDR,0.05
PC1,10.240597146060104,Benjamini-Hochberg FDR,0.05
PC1,19.952946799765435,Benjamini-Hochberg FDR,0.05
PC1,2.695908710234092,Benjamini-Hochberg FDR,0.05
PC1,22.188710537504637,Benjamini-Hochberg FDR,0.05
PC1,5.24380892046204,Benjamini-Hochberg FDR,0.05
PC1,19.072485462859575,Benjamini-Hochberg FDR,0.05
PC1,18.46859568776325,Benjamini-Hochberg FDR,0.05
PC1,16.69708723655092,Benjamini-Hochberg FDR,0.05
PC1,4.7610292268362935,Benjamini-Hochberg FDR,0.05
PC1,0.8431344678740196,Benjamini-Hochberg FDR,0.05
PC1,2.9882137532616397,Benjamini-Hochberg FDR,0.05
PC1,2.4658352458203883,Benjamini-Hochberg FDR,0.05
PC1,2.64429106766786,Benjamini-Hochberg FDR,0.05
PC1,22.761270788657498,Benjamini-Hochberg FDR,0.05
PC1,12.527335432656592,Benjamini-Hochberg FDR,0.05
PC1,1.4145210116483866,Benjamini-Hochberg FDR,0.05
PC1,2.838043005849194,Benjamini-Hochberg FDR,0.05
PC1,1.3446242945164006,Benjamini-Hochberg FDR,0.05
PC1,3.6107961507868778,Benjamini-Hochberg FDR,0.05
PC1,17.685864517746133,Benjamini-Hochberg FDR,0.05
PC1,5.6523015931171425,Benjamini-Hochberg FDR,0.05
PC1,15.440291011010505,Benjamini-Hochberg FDR,0.05
PC1,23.717197023770655,Benjamini-Hochberg FDR,0.05
PC1,18.192965683115673,Benjamini-Hochberg FDR,0.05
PC1,4.801135447473316,Benjamini-Hochberg FDR,0.05
PC1,16.404033075158114,Benjamini-Hochberg FDR,0.05
PC1,21.51781268360884,Benjamini-Hochberg FDR,0.05
PC1,13.172581831449845,Benjamini-Hochberg FDR,0.05
PC1,4.660879935452687,Benjamini-Hochberg FDR,0.05
PC1,0.6498621758897549,Benjamini-Hochberg FDR,0.05
PC1,21.80853569066401,Benjamini-Hochberg FDR,0.05
PC1,4.520292827891465,Benjamini-Hochberg FDR,0.05
PC1,0.44015732403968144,Benjamini-Hochberg FDR,0.05
PC1,18.791941505187808,Benjamini-Hochberg FDR,0.05
PC1,4.663476278769411,Benjamini-Hochberg FDR,0.05
PC1,1.5504479427616118,Benjamini-Hochberg FDR,0.05
PC1,23.280268094878977,Benjamini-Hochberg FDR,0.05
PC1,15.467606425327256,Benjamini-Hochberg FDR,0.05
PC1,5.883985127733075,Benjamini-Hochberg FDR,0.05
