ACCOUNTID,game_count
226135686,3916
225126161,3219
225753471,3118
225242419,2932
224969799,2907
224890008,2904
220449112,2829
225891257,2698
225412185,2679
219217904,2650
223288100,2628
208791048,2507
226068730,2487
226229487,2439
225473983,2412
225874897,2400
225503313,2372
38819279,2368
225332351,2362
226047558,2358
224880984,2344
225383366,2336
225556265,2325
226052246,2308
222898082,2233
226227999,2224
225700327,2205
227297187,2204
225270440,2198
226080603,2195
226317853,2182
225622773,2161
217317580,2144
37790984,2143
30839002,2136
226213915,2107
215440422,2101
225782550,2098
223370853,2093
222355835,2083
225776395,2073
224771414,2072
215499164,2067
226146171,2051
226559382,2048
225595968,2040
29179789,2036
213225949,2030
225257222,2028
206226392,2025
223688437,2022
225701184,2015
206329448,2008
224859978,2004
227164761,2002
226552806,2001
21923038,1999
226085693,1989
24669430,1977
224222286,1964
225451536,1961
225247929,1943
226332751,1934
225740509,1931
226048746,1930
226328174,1923
225043536,1919
202616217,1912
227362863,1899
224840512,1882
224026505,1875
226279705,1874
225552503,1874
226961057,1874
225197110,1869
42282414,1865
226378564,1862
223118189,1860
28738005,1854
226180245,1852
226425688,1846
211578084,1846
221597049,1839
225568634,1838
220183551,1838
28956235,1836
214011087,1831
220907328,1821
225322390,1818
223600004,1813
219741574,1813
29617456,1809
41885057,1808
221710122,1805
220205666,1797
221813668,1794
226066542,1793
213351930,1793
28356895,1791
226318185,1790
224076732,1787
226335071,1787
226182953,1784
224503637,1783
225189751,1781
38812652,1779
225701577,1776
223963088,1775
225695881,1775
225609579,1769
207715487,1769
224921689,1768
224345649,1767
225565436,1766
226018698,1765
225240368,1765
226532907,1764
225393292,1761
226206536,1761
225713410,1760
226062793,1756
40521083,1756
221117016,1754
223439887,1748
224868598,1748
224873355,1745
224291038,1745
227178730,1741
213545477,1737
225151693,1736
222828863,1734
222344370,1732
223349372,1732
24737208,1732
224093499,1726
224036290,1725
27027287,1722
209787777,1722
224962806,1722
36241862,1720
226369374,1720
226335357,1717
225172709,1711
224952338,1710
226141833,1709
217685435,1706
225324958,1705
28042348,1705
219906652,1703
224355292,1702
226229508,1702
225991446,1701
28010064,1700
222159746,1700
226439052,1699
222862520,1692
203678688,1691
223240132,1686
224028339,1685
208408349,1683
223158990,1682
202009522,1678
219995966,1677
223579837,1677
225888893,1674
225836632,1672
226356356,1671
224755115,1671
225441020,1670
212312795,1669
225129104,1667
226139022,1666
34807617,1666
226363281,1664
28124120,1661
223867336,1661
223463904,1658
41192950,1658
226315463,1657
226393488,1657
225878944,1656
224297530,1655
224394698,1654
39150245,1654
215914717,1653
225264390,1652
24803890,1648
225664236,1648
