local_hour,win_rate,n_win_records
0,0.49285090631518963,1912690
1,0.492631976148532,1367463
2,0.49312587042549805,924117
3,0.49154312316621696,593718
4,0.49210395752182495,378924
5,0.4911849245059099,291546
6,0.49627651584692156,299585
7,0.4946102522220471,418758
8,0.49230213745055446,684086
9,0.49325398189234054,1076561
10,0.49320254019001053,1488865
11,0.493545504223051,1797042
12,0.4933496433537054,2154095
13,0.49360588402817035,2566813
14,0.4934830276394914,2975308
15,0.49271031653583813,3215023
16,0.4923513416798323,3286328
17,0.492366241801231,3292415
18,0.492915156938994,3256106
19,0.49331782064441726,3423434
20,0.49341864711450445,3525339
21,0.49355520001894443,3378305
22,0.49379624543603995,3033002
23,0.49294340976653095,2494335
