metric,n_servers,weight_col,weight_sum,weighted_mean,weighted_sd,weighted_sem,min,max
target_best_period,8,server_n_records,146937582.0,23.68082373915749,1.9308655169702362,0.8522114126408412,12.0,24.0
target_power_24,8,server_n_records,146937582.0,0.06446944973797084,0.04196408946390031,0.0185213706743971,0.0147717862933722,0.1336102656996196
win_rate_mean,8,server_n_records,146937582.0,0.48472396451568245,0.009366793874048665,0.004134150498396227,0.4726555913146948,0.5065337510335541
win_rate_best_period,8,server_n_records,146937582.0,22.552509323312535,5.432922071602616,2.3978874513607265,8.0,33.0
win_rate_power_24,8,server_n_records,146937582.0,0.0037131952449066413,0.0018159762498719833,0.0008015036115275323,9.3553632542094e-05,0.0057286460931021
performance_pc1_explained,8,server_n_records,146937582.0,0.6311954976162332,0.054069992442623165,0.023864460904201745,0.4300568440933631,0.6746969441641224
performance_pc2_explained,8,server_n_records,146937582.0,0.19155814559566794,0.026091078598722364,0.01151562071750601,0.1558271025777027,0.2556203325969374
performance_pc3_explained,8,server_n_records,146937582.0,0.08688814225770217,0.010754225614829294,0.004746510682656345,0.0780697383225985,0.1375008215266535
success_pc1_explained,8,server_n_records,146937582.0,0.6315054000283364,0.062317828594728224,0.027504745552013394,0.4060921411560754,0.6781288378992422
success_pc2_explained,8,server_n_records,146937582.0,0.17653159828130555,0.021799265686076815,0.009621375927835222,0.1435860156425665,0.2277221748424199
success_pc3_explained,8,server_n_records,146937582.0,0.08579807301359098,0.013126345676973048,0.005793475254422723,0.0768778070428682,0.1319380427402841
success_pc1_win_rate_loading,8,server_n_records,146937582.0,0.32693801326294225,0.09529732278007488,0.04206065381225083,0.0391151657834885,0.3888889978393613
success_pc2_win_rate_loading,8,server_n_records,146937582.0,0.16976012443676816,0.10289283701715855,0.04541302810286202,-0.0450418948752354,0.3553091326436032
success_pc3_win_rate_loading,8,server_n_records,146937582.0,0.32613542149139485,0.21750225416706134,0.09599731397509642,0.124687969617673,0.966481205544006
pc1_player_periodogram_best_period,8,pc1_player_periodogram_valid_players,8000.0,22.0,5.291502622129181,1.8708286933869707,8.0,24.0
pc1_player_periodogram_valid_players,8,pc1_player_periodogram_valid_players,8000.0,1000.0,0.0,0.0,1000.0,1000.0
pc2_player_periodogram_best_period,8,pc2_player_periodogram_valid_players,8000.0,22.5,3.968626966596886,1.403121520040228,12.0,24.0
pc2_player_periodogram_valid_players,8,pc2_player_periodogram_valid_players,8000.0,1000.0,0.0,0.0,1000.0,1000.0
deltammr_player_periodogram_best_period,8,deltammr_player_periodogram_valid_players,8000.0,26.625,6.9450971915445505,2.455462660070399,24.0,45.0
deltammr_player_periodogram_valid_players,8,deltammr_player_periodogram_valid_players,8000.0,1000.0,0.0,0.0,1000.0,1000.0
pc1_phase_players,8,pc1_phase_players,8000.0,1000.0,0.0,0.0,1000.0,1000.0
pc1_phase_fdr_significant,8,pc1_phase_players,8000.0,216.75,195.74201771719837,69.20525404548414,93.0,712.0
pc2_phase_players,8,pc2_phase_players,8000.0,1000.0,0.0,0.0,1000.0,1000.0
pc2_phase_fdr_significant,8,pc2_phase_players,8000.0,185.0,232.5929921558257,82.2340410049269,14.0,759.0
deltammr_phase_players,8,deltammr_phase_players,8000.0,1000.0,0.0,0.0,1000.0,1000.0
deltammr_phase_fdr_significant,8,deltammr_phase_players,8000.0,3.25,1.8540496217739157,0.6555055301063447,1.0,6.0
pc1_circular_n,8,pc1_circular_n,1734.0,393.520184544406,270.82379643598205,129.0166561938725,93.0,712.0
pc2_circular_n,8,pc2_circular_n,1480.0,477.42972972972973,295.4257563153923,167.79237757507585,14.0,759.0
deltammr_circular_n,8,deltammr_circular_n,26.0,4.3076923076923075,1.587674418503869,0.6462448729692805,1.0,6.0
