metric,local_hour,n_servers,weight_col,weight_sum,total_phases,weighted_density,weighted_sd_density,weighted_sem_density,kappa,min_phases
PC1,0.0,8,n_phases,1734.0,1734,0.05059482078938234,0.006891058300532191,0.0032828034732237847,4.0,20
PC1,0.1,8,n_phases,1734.0,1734,0.050316864766475025,0.006973410387389443,0.003322034851768548,4.0,20
PC1,0.2,8,n_phases,1734.0,1734,0.05003303988785456,0.007064408179683731,0.003365384923059675,4.0,20
PC1,0.30000000000000004,8,n_phases,1734.0,1734,0.04974458963138533,0.007164209766172869,0.003412928998362954,4.0,20
PC1,0.4,8,n_phases,1734.0,1734,0.049452756566649915,0.007272835154535086,0.0034646766090555277,4.0,20
PC1,0.5,8,n_phases,1734.0,1734,0.04915877422374234,0.007390146781474464,0.0035205622219136256,4.0,20
PC1,0.6000000000000001,8,n_phases,1734.0,1734,0.048863859378920516,0.007515835456544045,0.003580438542947138,4.0,20
PC1,0.7000000000000001,8,n_phases,1734.0,1734,0.04856920481439108,0.0076494125073911885,0.0036440727755047302,4.0,20
PC1,0.8,8,n_phases,1734.0,1734,0.04827597259429505,0.007790208371611649,0.003711145949452885,4.0,20
PC1,0.9,8,n_phases,1734.0,1734,0.047985287885116884,0.007937377381117628,0.0037812552003817037,4.0,20
PC1,1.0,8,n_phases,1734.0,1734,0.047698233336672655,0.008089908064984845,0.003853918677736674,4.0,20
PC1,1.1,8,n_phases,1734.0,1734,0.047415844029823045,0.008246637994181473,0.003928582616639219,4.0,20
PC1,1.2000000000000002,8,n_phases,1734.0,1734,0.047139102989231664,0.008406272022243621,0.004004630027488529,4.0,20
PC1,1.3,8,n_phases,1734.0,1734,0.0468689372538345,0.00856740273469473,0.004081390437778001,4.0,20
PC1,1.4000000000000001,8,n_phases,1734.0,1734,0.04660621449405059,0.008728531985866646,0.004158150151934572,4.0,20
PC1,1.5,8,n_phases,1734.0,1734,0.046351740162877485,0.008888092545126167,0.0042341625632772864,4.0,20
PC1,1.6,8,n_phases,1734.0,1734,0.046106255167516506,0.009044469063856744,0.004308658142393159,4.0,20
PC1,1.7000000000000002,8,n_phases,1734.0,1734,0.0458704340486315,0.009196017781741665,0.004380853824933939,4.0,20
PC1,1.8,8,n_phases,1734.0,1734,0.04564488365529956,0.00934108459408829,0.004449961618635848,4.0,20
PC1,1.9000000000000001,8,n_phases,1734.0,1734,0.04543014230469645,0.009478021286441818,0.004515196337261755,4.0,20
PC1,2.0,8,n_phases,1734.0,1734,0.0452266794161408,0.009605199900462357,0.004575782444303422,4.0,20
PC1,2.1,8,n_phases,1734.0,1734,0.0450348956089215,0.009721025323065739,0.004630960050271526,4.0,20
PC1,2.2,8,n_phases,1734.0,1734,0.04485512325206202,0.009823946289808946,0.004679990154554064,4.0,20
PC1,2.3000000000000003,8,n_phases,1734.0,1734,0.044687627451646124,0.009912465066204405,0.004722159257458634,4.0,20
PC1,2.4000000000000004,8,n_phases,1734.0,1734,0.0445326074574684,0.009985146120856464,0.004756783491972935,4.0,20
PC1,2.5,8,n_phases,1734.0,1734,0.04439019846563109,0.010040624136116866,0.0047832124399286285,4.0,20
PC1,2.6,8,n_phases,1734.0,1734,0.044260473787455144,0.010077611719395705,0.004800832805561661,4.0,20
PC1,2.7,8,n_phases,1734.0,1734,0.04414344734798657,0.010094907185249032,0.004809072122789603,4.0,20
PC1,2.8000000000000003,8,n_phases,1734.0,1734,0.044039076469832295,0.010091402778778822,0.0048074026727239864,4.0,20
PC1,2.9000000000000004,8,n_phases,1734.0,1734,0.04394726489049706,0.010066093708815881,0.004795345786951885,4.0,20
PC1,3.0,8,n_phases,1734.0,1734,0.04386786595430245,0.010018088359418633,0.004772476712150641,4.0,20
PC1,3.1,8,n_phases,1734.0,1734,0.04380068591385613,0.009946620055912552,0.004738430215263935,4.0,20
PC1,3.2,8,n_phases,1734.0,1734,0.043745487271392054,0.009851060783858653,0.004692907119025866,4.0,20
PC1,3.3000000000000003,8,n_phases,1734.0,1734,0.04370199208756194,0.009730937304708032,0.004635681979232616,4.0,20
PC1,3.4000000000000004,8,n_phases,1734.0,1734,0.04366988518479457,0.009585950191788355,0.004566612153219297,4.0,20
PC1,3.5,8,n_phases,1734.0,1734,0.04364881717441842,0.009415996439457468,0.004485648570543445,4.0,20
PC1,3.6,8,n_phases,1734.0,1734,0.04363840724151693,0.009221196496087313,0.004392848611119222,4.0,20
PC1,3.7,8,n_phases,1734.0,1734,0.04363824562897013,0.009001926863123065,0.004288391634951723,4.0,20
PC1,3.8000000000000003,8,n_phases,1734.0,1734,0.043647895772211405,0.008758859819678754,0.004172597906376883,4.0,20
PC1,3.9000000000000004,8,n_phases,1734.0,1734,0.04366689604863595,0.008493012413382952,0.0040459519326128835,4.0,20
PC1,4.0,8,n_phases,1734.0,1734,0.043694761119948196,0.008205807644384704,0.003909131610961989,4.0,20
PC1,4.1000000000000005,8,n_phases,1734.0,1734,0.04373098286153097,0.007899151790389757,0.003763045065372718,4.0,20
PC1,4.2,8,n_phases,1734.0,1734,0.04377503088956293,0.007575533059005718,0.0036088776430327047,4.0,20
PC1,4.3,8,n_phases,1734.0,1734,0.04382635271344536,0.0072381480595946155,0.003448152163784498,4.0,20
PC1,4.4,8,n_phases,1734.0,1734,0.043884373557432396,0.006891063489593733,0.0032828059452198856,4.0,20
PC1,4.5,8,n_phases,1734.0,1734,0.043948495910493386,0.0065394197537543336,0.0031152878040278695,4.0,20
PC1,4.6000000000000005,8,n_phases,1734.0,1734,0.044018098876712895,0.0061896783861404275,0.0029486759243628406,4.0,20
PC1,4.7,8,n_phases,1734.0,1734,0.04409253740935439,0.005849901024145174,0.002786810757151196,4.0,20
PC1,4.800000000000001,8,n_phases,1734.0,1734,0.04417114151957745,0.005530015724124225,0.0026344218891218977,4.0,20
PC1,4.9,8,n_phases,1734.0,1734,0.044253215555324854,0.005241966177146539,0.002497199127096236,4.0,20
PC1,5.0,8,n_phases,1734.0,1734,0.0443380376468464,0.004999549350716505,0.0023817151527826042,4.0,20
PC1,5.1000000000000005,8,n_phases,1734.0,1734,0.04442485941261571,0.004817664017064856,0.002295067532199567,4.0,20
PC1,5.2,8,n_phases,1734.0,1734,0.04451290601310088,0.0047107308783446876,0.0022441260854893894,4.0,20
PC1,5.300000000000001,8,n_phases,1734.0,1734,0.044601376630202964,0.004690367657033402,0.0022344253326106113,4.0,20
PC1,5.4,8,n_phases,1734.0,1734,0.044689445437559754,0.004762999048254844,0.002269025908163486,4.0,20
PC1,5.5,8,n_phases,1734.0,1734,0.044776263111839805,0.004928495372739971,0.002347866034764009,4.0,20
PC1,5.6000000000000005,8,n_phases,1734.0,1734,0.04486095891823924,0.005180562507488795,0.0024679472805394366,4.0,20
PC1,5.7,8,n_phases,1734.0,1734,0.044942643385340146,0.005508592673099999,0.0026242162482403007,4.0,20
PC1,5.800000000000001,8,n_phases,1734.0,1734,0.04502041156603038,0.005899968838513735,0.0028106623613225238,4.0,20
PC1,5.9,8,n_phases,1734.0,1734,0.04509334686306655,0.006341933870846067,0.003021208300699062,4.0,20
PC1,6.0,8,n_phases,1734.0,1734,0.04516052538080134,0.006822698645218453,0.0032502378927127345,4.0,20
PC1,6.1000000000000005,8,n_phases,1734.0,1734,0.04522102074924501,0.007331898070992668,0.0034928133536351958,4.0,20
PC1,6.2,8,n_phases,1734.0,1734,0.04527390935354726,0.007860643876184552,0.0037447004354209316,4.0,20
PC1,6.300000000000001,8,n_phases,1734.0,1734,0.04531827589160391,0.008401385571196329,0.004002302190780407,4.0,20
PC1,6.4,8,n_phases,1734.0,1734,0.04535321917511092,0.008947709347430532,0.004262563171301768,4.0,20
PC1,6.5,8,n_phases,1734.0,1734,0.045377858085148534,0.009494139104602768,0.004522874639654795,4.0,20
PC1,6.6000000000000005,8,n_phases,1734.0,1734,0.045391337592267676,0.010035964698279802,0.004780992749128217,4.0,20
PC1,6.7,8,n_phases,1734.0,1734,0.04539283475290947,0.010569103001043089,0.005034972355117734,4.0,20
PC1,6.800000000000001,8,n_phases,1734.0,1734,0.04538156459851424,0.011089989152110851,0.005283115207972042,4.0,20
PC1,6.9,8,n_phases,1734.0,1734,0.04535678584045585,0.011595492754846753,0.0055239300306619615,4.0,20
PC1,7.0,8,n_phases,1734.0,1734,0.04531780632246613,0.012082853618866097,0.005756101907221544,4.0,20
PC1,7.1000000000000005,8,n_phases,1734.0,1734,0.04526398816192976,0.012549632381291373,0.005978468759407145,4.0,20
PC1,7.2,8,n_phases,1734.0,1734,0.045194752531749684,0.012993672286592125,0.0061900031391494675,4.0,20
PC1,7.300000000000001,8,n_phases,1734.0,1734,0.045109584044833596,0.013413069281823061,0.006389797982344657,4.0,20
PC1,7.4,8,n_phases,1734.0,1734,0.04500803471310566,0.013806148308707612,0.006577055314735587,4.0,20
PC1,7.5,8,n_phases,1734.0,1734,0.04488972746185109,0.014171444238915813,0.0067510771697457785,4.0,20
PC1,7.6000000000000005,8,n_phases,1734.0,1734,0.04475435918780151,0.014507686324841266,0.00691125818104775,4.0,20
PC1,7.7,8,n_phases,1734.0,1734,0.04460170335542675,0.014813785352306947,0.007057079462292338,4.0,20
PC1,7.800000000000001,8,n_phases,1734.0,1734,0.04443161213030271,0.015088822909198434,0.007188103494836167,4.0,20
PC1,7.9,8,n_phases,1734.0,1734,0.04424401805118894,0.01533204234602608,0.007303969821480316,4.0,20
PC1,8.0,8,n_phases,1734.0,1734,0.044038935243709595,0.015542841117416287,0.0074043913980642246,4.0,20
PC1,8.1,8,n_phases,1734.0,1734,0.0438164601785252,0.015720764270284134,0.0074891514913225255,4.0,20
PC1,8.200000000000001,8,n_phases,1734.0,1734,0.043576771975935506,0.015865498894683205,0.007558101035347761,4.0,20
PC1,8.3,8,n_phases,1734.0,1734,0.04332013225734593,0.015976869384490333,0.007611156373847109,4.0,20
PC1,8.4,8,n_phases,1734.0,1734,0.043046884542368755,0.016054833372845773,0.007648297323843113,4.0,20
PC1,8.5,8,n_phases,1734.0,1734,0.042757453188923794,0.016099478216012132,0.007669565500633423,4.0,20
PC1,8.6,8,n_phases,1734.0,1734,0.04245234187291956,0.016111017902428297,0.007675062845307459,4.0,20
