component,feature,n_servers,weight_col,weight_sum,weighted_mean_loading,weighted_sd_loading,min_loading,max_loading
PC1,assists_per_min,8,server_n_records,146937582.0,0.3400011327295534,0.034184968247299614,0.2590340255073902,0.3720862127220267
PC1,damdealt_per_min,8,server_n_records,146937582.0,0.41598788966428696,0.020340063008337024,0.3726766661811147,0.4725281897638905
PC1,deaths_per_min,8,server_n_records,146937582.0,0.2282886448633647,0.21999842952740797,-0.2013734574953865,0.436952581016062
PC1,enemycreep_per_min,8,server_n_records,146937582.0,0.29706214245235396,0.15075482760063974,-0.1460735074318298,0.4113245587084418
PC1,gold_per_min,8,server_n_records,146937582.0,0.4234546528276385,0.027973713243608863,0.3621743999439989,0.4902927780273349
PC1,kills_per_min,8,server_n_records,146937582.0,0.4260733963093958,0.012317702837810474,0.4124941146482928,0.4855259868856195
PC1,neutralcreep_per_min,8,server_n_records,146937582.0,0.23260174459568675,0.0759380023403879,0.0428253267850204,0.3480760364377556
PC1,timedead_fraction,8,server_n_records,146937582.0,0.16581203159629807,0.22165876521430258,-0.2489087545671737,0.4395155387278703
PC2,assists_per_min,8,server_n_records,146937582.0,-0.051716498211061834,0.20313311533182873,-0.2857676965227519,0.3189635751862863
PC2,damdealt_per_min,8,server_n_records,146937582.0,0.06386485645660253,0.09498650620157792,-0.1769561514571665,0.2008286845624301
PC2,deaths_per_min,8,server_n_records,146937582.0,-0.19518580276306158,0.4691999619566095,-0.6352878098564343,0.6627561756790127
PC2,enemycreep_per_min,8,server_n_records,146937582.0,0.3222449601348696,0.21808707456241427,-0.1291303818013237,0.5606045245221873
PC2,gold_per_min,8,server_n_records,146937582.0,0.18014373065715011,0.09627307906950693,0.0432916132922353,0.427994856400292
PC2,kills_per_min,8,server_n_records,146937582.0,0.07254963828850682,0.08584010176649985,0.0064457601188826,0.2577100598630376
PC2,neutralcreep_per_min,8,server_n_records,146937582.0,0.334398756030027,0.250610969048133,-0.1901283590065372,0.6134901820293277
PC2,timedead_fraction,8,server_n_records,146937582.0,-0.2669791679980288,0.48275541651196097,-0.7024817526031311,0.6135877106278744
PC3,assists_per_min,8,server_n_records,146937582.0,0.42628572254873737,0.1842900889722127,0.0460574990656681,0.7732572080269839
PC3,damdealt_per_min,8,server_n_records,146937582.0,0.20801021281505902,0.08430929400784519,-0.067067884648216,0.3337780877422991
PC3,deaths_per_min,8,server_n_records,146937582.0,-0.15060863826887042,0.08875303217064819,-0.225258610408841,0.0410718168567273
PC3,enemycreep_per_min,8,server_n_records,146937582.0,0.12422900580201136,0.2821348734326349,-0.6077478852136337,0.7043660686859359
PC3,gold_per_min,8,server_n_records,146937582.0,-0.025504762493736313,0.0785713776110992,-0.1709079634208895,0.1238757684252422
PC3,kills_per_min,8,server_n_records,146937582.0,0.05376254146122706,0.06984945480681842,-0.080617053010899,0.1251586948147665
PC3,neutralcreep_per_min,8,server_n_records,146937582.0,-0.6538978665012292,0.23946551600450858,-0.9197619754727352,0.6194618725409161
PC3,timedead_fraction,8,server_n_records,146937582.0,-0.29670926173517637,0.14419602690715275,-0.4184796513756361,0.0640661228270203
PC4,assists_per_min,8,server_n_records,146937582.0,0.4695045838572901,0.3129871929918489,-0.3316156180026559,0.7524208583201477
PC4,damdealt_per_min,8,server_n_records,146937582.0,0.09352784817976591,0.1649077837991175,-0.0835800009147673,0.5547423307329233
PC4,deaths_per_min,8,server_n_records,146937582.0,-0.09481798187583704,0.13845363500180208,-0.3943134475114465,0.1259505267951568
PC4,enemycreep_per_min,8,server_n_records,146937582.0,-0.39982111465445025,0.3805955274620074,-0.6567102970482145,0.4447356772978032
PC4,gold_per_min,8,server_n_records,146937582.0,-0.06668050518016137,0.07947547313936189,-0.1389829051480521,0.125360978165943
PC4,kills_per_min,8,server_n_records,146937582.0,0.00555246746761233,0.11942922609022814,-0.3079312358377345,0.1666756844346599
PC4,neutralcreep_per_min,8,server_n_records,146937582.0,0.2280212389184037,0.42977963208331144,-0.7925032207873165,0.4808560360864042
PC4,timedead_fraction,8,server_n_records,146937582.0,-0.20203933349394798,0.10105329715574342,-0.3776141329663992,-0.0438077285866761
PC5,assists_per_min,8,server_n_records,146937582.0,-0.18113189195809654,0.4484500484966982,-0.5327914077554342,0.7300848253418775
PC5,damdealt_per_min,8,server_n_records,146937582.0,0.15432137342056185,0.3405558310637961,-0.6142303198724273,0.5450628553248693
PC5,deaths_per_min,8,server_n_records,146937582.0,0.08238763501448501,0.3327097902993737,-0.5779422088010613,0.4938126371678263
PC5,enemycreep_per_min,8,server_n_records,146937582.0,-0.2303999220175491,0.20660029034015248,-0.5228451861718768,0.1237476357807589
PC5,gold_per_min,8,server_n_records,146937582.0,-0.06404524682018378,0.11578311530708654,-0.157847994266867,0.2137950242285719
PC5,kills_per_min,8,server_n_records,146937582.0,0.31207523261634695,0.3510956922746275,-0.3653838514180818,0.6760415684139834
PC5,neutralcreep_per_min,8,server_n_records,146937582.0,-0.06040796631872305,0.048760710547372674,-0.2720197108871978,0.0013439660092293
PC5,timedead_fraction,8,server_n_records,146937582.0,-0.19756149548749408,0.3602987193849622,-0.6024343509837541,0.5638206840723531
PC6,assists_per_min,8,server_n_records,146937582.0,-0.11765376752085639,0.1594309155080855,-0.3198689702325491,0.1411899117523233
PC6,damdealt_per_min,8,server_n_records,146937582.0,0.5273232264595948,0.26638302874951075,-0.7532126114785846,0.6844154561256701
PC6,deaths_per_min,8,server_n_records,146937582.0,-0.39163085919776053,0.17857782923144028,-0.5110687689388065,0.3099836957346811
PC6,enemycreep_per_min,8,server_n_records,146937582.0,-0.16869986140285503,0.2115443674972004,-0.4651804578460937,0.0522278958382339
PC6,gold_per_min,8,server_n_records,146937582.0,-0.18489384915017573,0.12330814617199931,-0.2574572918934287,0.3228719982720361
PC6,kills_per_min,8,server_n_records,146937582.0,0.07135100289330076,0.3329245976176854,-0.3585867198069639,0.6047796976218426
PC6,neutralcreep_per_min,8,server_n_records,146937582.0,0.006953200265965759,0.05482594510721748,-0.1448638435941075,0.0816682173675774
PC6,timedead_fraction,8,server_n_records,146937582.0,0.2405379377310105,0.35637216355281276,-0.7745535513394759,0.4650573005590745
PC7,assists_per_min,8,server_n_records,146937582.0,-0.058738624492371376,0.08050659607227827,-0.183548592289917,0.0759992268495807
