metric,platform,n_phases,included,min_phases
PC1,BR1,106,True,20
PC1,EUN1,103,True,20
PC1,EUW1,177,True,20
PC1,JP1,712,True,20
PC1,LA1,93,True,20
PC1,LA2,94,True,20
PC1,NA1,269,True,20
PC1,OC1,180,True,20
PC2,BR1,55,True,20
PC2,EUN1,67,True,20
PC2,EUW1,224,True,20
PC2,JP1,759,True,20
PC2,LA1,32,True,20
PC2,LA2,14,False,20
PC2,NA1,258,True,20
PC2,OC1,71,True,20
DeltaMMR,BR1,1,False,20
DeltaMMR,EUN1,5,False,20
DeltaMMR,EUW1,2,False,20
DeltaMMR,JP1,2,False,20
DeltaMMR,LA1,4,False,20
DeltaMMR,LA2,1,False,20
DeltaMMR,NA1,6,False,20
DeltaMMR,OC1,5,False,20
