metric,platform,phase_local_peak
PC1,BR1,19.89883798636295
PC1,BR1,19.218435871650005
PC1,BR1,2.7749121329555013
PC1,BR1,21.12872672287652
PC1,BR1,11.233113412530171
PC1,BR1,23.07691243046017
PC1,BR1,20.54536278878045
PC1,BR1,12.641764294336763
PC1,BR1,6.577782253530243
PC1,BR1,13.912433910571965
PC1,BR1,12.872757183382618
PC1,BR1,1.1779960926761597
PC1,BR1,6.552084473236569
PC1,BR1,18.727182511631383
PC1,BR1,4.186567658043098
PC1,BR1,4.08983745065995
PC1,BR1,22.13329786592839
PC1,BR1,7.229979961807942
PC1,BR1,0.4045650827088884
PC1,BR1,20.157659260182392
PC1,BR1,0.9293858904801208
PC1,BR1,8.89177746429343
PC1,BR1,4.04604454435998
PC1,BR1,9.547646109388214
PC1,BR1,5.749693235654753
PC1,BR1,1.5593716314107633
PC1,BR1,17.268709250873673
PC1,BR1,19.831875480111755
PC1,BR1,14.661218984502774
PC1,BR1,23.431648718895666
PC1,BR1,1.580206249384406
PC1,BR1,19.96984071081809
PC1,BR1,17.28729691925848
PC1,BR1,3.1129153714493496
PC1,BR1,0.1197454559985038
PC1,BR1,1.0106220957915075
PC1,BR1,15.93323093689849
PC1,BR1,16.668713556118483
PC1,BR1,2.71122407795786
PC1,BR1,11.589802794195544
PC1,BR1,3.1592242606819445
PC1,BR1,3.7769721356448103
PC1,BR1,6.405700431639307
PC1,BR1,17.08721249093012
PC1,BR1,6.895538165249244
PC1,BR1,19.753298494660644
PC1,BR1,13.691820478757784
PC1,BR1,9.324031521237378
PC1,BR1,0.501869865303147
PC1,BR1,10.6798892560722
PC1,BR1,0.4743537447561028
PC1,BR1,11.60882397544934
PC1,BR1,3.8147406097944536
PC1,BR1,2.256641290738135
PC1,BR1,16.0522320308962
PC1,BR1,9.88820213042558
PC1,BR1,4.564368369280479
PC1,BR1,20.25724507339497
PC1,BR1,0.0753990370291237
PC1,BR1,21.822582825365632
PC1,BR1,7.051111830982691
PC1,BR1,18.14335446169357
PC1,BR1,2.531070436674137
PC1,BR1,13.463819071350065
PC1,BR1,11.403908929234586
PC1,BR1,8.564989920244603
PC1,BR1,6.58046350731273
PC1,BR1,14.300374813798223
PC1,BR1,14.470510092708691
PC1,BR1,17.711174663354388
PC1,BR1,14.069346294339788
PC1,BR1,14.14329682853938
PC1,BR1,14.947233697990216
PC1,BR1,3.864823374318207
PC1,BR1,21.28757553894446
PC1,BR1,4.604894249570786
PC1,BR1,21.76003551235449
PC1,BR1,16.103480057743653
PC1,BR1,19.41797763537448
PC1,BR1,18.26812297965271
PC1,BR1,22.722679547698966
PC1,BR1,3.449240482119356
PC1,BR1,17.910906283935645
PC1,BR1,15.69886722678654
PC1,BR1,6.540644070966808
PC1,BR1,17.31067766757975
PC1,BR1,21.540505242469024
PC1,BR1,5.749843385771909
PC1,BR1,21.92666363738464
PC1,BR1,4.132952553845219
PC1,BR1,9.698405070796513
PC1,BR1,0.9142128649912687
PC1,BR1,10.422341430353947
PC1,BR1,21.202895735817386
PC1,BR1,23.12853251469272
PC1,BR1,22.95452549288972
PC1,BR1,13.777616461406268
PC1,BR1,18.33955616420242
PC1,BR1,12.110965367064962
PC1,BR1,4.890802869540805
PC1,BR1,19.36546768452765
PC1,BR1,18.75827982168661
PC1,BR1,1.2529262639475591
PC1,BR1,3.753954883628549
PC1,BR1,6.664335378080224
PC1,BR1,6.177879052555749
PC1,EUN1,14.33096371350828
PC1,EUN1,3.411981610198509
PC1,EUN1,17.51436916663733
PC1,EUN1,15.381422201411802
PC1,EUN1,4.994893448255729
PC1,EUN1,3.9579829159299855
PC1,EUN1,12.59027127323018
PC1,EUN1,16.096503714639397
PC1,EUN1,16.980362998779544
PC1,EUN1,18.37235248883076
PC1,EUN1,18.232090121296206
PC1,EUN1,20.934766324157696
PC1,EUN1,12.173714154628508
PC1,EUN1,23.938758827443483
PC1,EUN1,8.91565323114349
PC1,EUN1,5.197338739362044
PC1,EUN1,19.71150771944425
PC1,EUN1,22.26137025279278
PC1,EUN1,0.6780035729157419
PC1,EUN1,20.603082817485767
PC1,EUN1,13.491679280868714
PC1,EUN1,21.35834701209584
PC1,EUN1,4.289982708298558
PC1,EUN1,21.32159986975804
PC1,EUN1,17.26198649716885
PC1,EUN1,20.44315998001017
PC1,EUN1,0.252979051859409
PC1,EUN1,3.277042781434436
PC1,EUN1,21.36447130401329
PC1,EUN1,15.2629302812936
PC1,EUN1,1.563994500459117
PC1,EUN1,20.165038420605185
PC1,EUN1,0.7451489166538394
PC1,EUN1,20.097795106751384
PC1,EUN1,5.484375806519604
PC1,EUN1,23.858169075252004
PC1,EUN1,22.93609854867229
PC1,EUN1,17.257469843682916
PC1,EUN1,22.98447777626537
PC1,EUN1,6.604775890454584
PC1,EUN1,23.24926067468037
PC1,EUN1,19.868591951450345
PC1,EUN1,20.043288153213236
PC1,EUN1,12.236658421752995
PC1,EUN1,20.128349601633957
PC1,EUN1,5.856381766184594
PC1,EUN1,7.977037496097614
PC1,EUN1,5.841108666969442
PC1,EUN1,13.470483032912403
PC1,EUN1,22.181961144674418
PC1,EUN1,15.84718522493423
PC1,EUN1,19.89976671992425
PC1,EUN1,15.94792129653154
PC1,EUN1,23.283725548529446
PC1,EUN1,19.086973813925503
PC1,EUN1,23.28056982495699
PC1,EUN1,6.946464444565954
PC1,EUN1,8.596743918336847
PC1,EUN1,12.186705967291
PC1,EUN1,4.412070511260561
PC1,EUN1,5.715329988452206
PC1,EUN1,19.658242814870928
PC1,EUN1,14.249158815639804
PC1,EUN1,23.6496106682448
PC1,EUN1,6.0518206234849
PC1,EUN1,0.3520767729847982
PC1,EUN1,13.833540609371664
PC1,EUN1,22.500810213822103
PC1,EUN1,17.908153431667355
PC1,EUN1,3.172469626038453
PC1,EUN1,21.9867727769388
PC1,EUN1,20.415725421118687
PC1,EUN1,22.671250300780304
PC1,EUN1,21.237264044800213
PC1,EUN1,3.8524074466297336
PC1,EUN1,20.00211626418038
PC1,EUN1,3.002175545490328
PC1,EUN1,23.070351436806387
PC1,EUN1,15.235774625754766
PC1,EUN1,22.032608293821667
PC1,EUN1,23.668359114254866
PC1,EUN1,0.6196847743056431
PC1,EUN1,7.247043610885853
PC1,EUN1,18.88236755476388
PC1,EUN1,1.7303238844365865
PC1,EUN1,22.82347668707157
PC1,EUN1,16.57882083617135
PC1,EUN1,8.220003244847854
PC1,EUN1,19.90396202337404
PC1,EUN1,1.4140682686148445
PC1,EUN1,20.723995485405226
PC1,EUN1,22.00424872775097
PC1,EUN1,1.3205526985878642
PC1,EUN1,20.93189460159193
PC1,EUN1,0.2278048454082935
PC1,EUN1,23.19166322119975
PC1,EUN1,1.8256165870632584
PC1,EUN1,6.6272146563521686
PC1,EUN1,17.962509268261634
PC1,EUN1,9.389868788104028
PC1,EUN1,9.275224778981006
PC1,EUN1,23.86989284415228
PC1,EUN1,21.98729903921584
PC1,EUW1,3.8138405399626927
