metric,phase_local_peak,correction,alpha
PC2,5.880515395917737,Benjamini-Hochberg FDR,0.05
PC2,15.127914366901816,Benjamini-Hochberg FDR,0.05
PC2,9.440909649242075,Benjamini-Hochberg FDR,0.05
PC2,21.54451364612384,Benjamini-Hochberg FDR,0.05
PC2,6.4786813323945225,Benjamini-Hochberg FDR,0.05
PC2,19.337617053263422,Benjamini-Hochberg FDR,0.05
PC2,22.031774128922635,Benjamini-Hochberg FDR,0.05
PC2,13.573867522827438,Benjamini-Hochberg FDR,0.05
PC2,23.687313384911068,Benjamini-Hochberg FDR,0.05
PC2,11.596346727070765,Benjamini-Hochberg FDR,0.05
PC2,0.4887546460368881,Benjamini-Hochberg FDR,0.05
PC2,21.010713708009703,Benjamini-Hochberg FDR,0.05
PC2,7.215024722949895,Benjamini-Hochberg FDR,0.05
PC2,2.178256764538766,Benjamini-Hochberg FDR,0.05
PC2,18.4562898001073,Benjamini-Hochberg FDR,0.05
PC2,22.97302954927924,Benjamini-Hochberg FDR,0.05
PC2,21.66163352864436,Benjamini-Hochberg FDR,0.05
PC2,22.381999403249353,Benjamini-Hochberg FDR,0.05
PC2,5.9121575542760745,Benjamini-Hochberg FDR,0.05
PC2,17.85461648905224,Benjamini-Hochberg FDR,0.05
PC2,1.1681323180250835,Benjamini-Hochberg FDR,0.05
PC2,5.29469941224021,Benjamini-Hochberg FDR,0.05
PC2,19.559965211101648,Benjamini-Hochberg FDR,0.05
PC2,17.067956157338926,Benjamini-Hochberg FDR,0.05
PC2,2.202279359968127,Benjamini-Hochberg FDR,0.05
PC2,12.84298327977364,Benjamini-Hochberg FDR,0.05
PC2,8.91853243338116,Benjamini-Hochberg FDR,0.05
PC2,10.494119133014149,Benjamini-Hochberg FDR,0.05
PC2,15.25338747786006,Benjamini-Hochberg FDR,0.05
PC2,10.642704040948217,Benjamini-Hochberg FDR,0.05
PC2,21.593326391903943,Benjamini-Hochberg FDR,0.05
PC2,21.800542885770028,Benjamini-Hochberg FDR,0.05
PC2,22.11126627702872,Benjamini-Hochberg FDR,0.05
PC2,4.731441042616154,Benjamini-Hochberg FDR,0.05
PC2,13.280046466616039,Benjamini-Hochberg FDR,0.05
PC2,21.044175580372904,Benjamini-Hochberg FDR,0.05
PC2,0.22519929353883228,Benjamini-Hochberg FDR,0.05
PC2,0.40005143205477367,Benjamini-Hochberg FDR,0.05
PC2,0.6094828373842063,Benjamini-Hochberg FDR,0.05
PC2,21.08664877522069,Benjamini-Hochberg FDR,0.05
PC2,20.638517704196474,Benjamini-Hochberg FDR,0.05
PC2,11.26979050084984,Benjamini-Hochberg FDR,0.05
PC2,15.070561728033933,Benjamini-Hochberg FDR,0.05
PC2,13.149858531508688,Benjamini-Hochberg FDR,0.05
PC2,12.055080435699995,Benjamini-Hochberg FDR,0.05
PC2,0.6800010366719675,Benjamini-Hochberg FDR,0.05
PC2,17.32414994210801,Benjamini-Hochberg FDR,0.05
PC2,8.801204302341006,Benjamini-Hochberg FDR,0.05
PC2,7.893330649909302,Benjamini-Hochberg FDR,0.05
PC2,11.830167517438191,Benjamini-Hochberg FDR,0.05
PC2,16.67728453619292,Benjamini-Hochberg FDR,0.05
PC2,18.317252770800135,Benjamini-Hochberg FDR,0.05
PC2,21.135824884652287,Benjamini-Hochberg FDR,0.05
PC2,18.60527981572909,Benjamini-Hochberg FDR,0.05
PC2,9.89709245665152,Benjamini-Hochberg FDR,0.05
PC2,22.428973082967104,Benjamini-Hochberg FDR,0.05
PC2,18.506884604950166,Benjamini-Hochberg FDR,0.05
PC2,23.901104027611616,Benjamini-Hochberg FDR,0.05
PC2,20.687909867736458,Benjamini-Hochberg FDR,0.05
PC2,21.652229672019384,Benjamini-Hochberg FDR,0.05
PC2,9.004607258530596,Benjamini-Hochberg FDR,0.05
PC2,9.967536205937506,Benjamini-Hochberg FDR,0.05
PC2,11.755536299101976,Benjamini-Hochberg FDR,0.05
PC2,6.565928131946784,Benjamini-Hochberg FDR,0.05
PC2,6.669844980096819,Benjamini-Hochberg FDR,0.05
PC2,23.43220522368318,Benjamini-Hochberg FDR,0.05
PC2,17.898361549593574,Benjamini-Hochberg FDR,0.05
PC2,12.31432396246337,Benjamini-Hochberg FDR,0.05
PC2,5.866001923331538,Benjamini-Hochberg FDR,0.05
PC2,8.218007683578548,Benjamini-Hochberg FDR,0.05
PC2,18.484743050342725,Benjamini-Hochberg FDR,0.05
PC2,15.508851769338925,Benjamini-Hochberg FDR,0.05
PC2,20.166957138596977,Benjamini-Hochberg FDR,0.05
PC2,21.793028976970763,Benjamini-Hochberg FDR,0.05
PC2,10.580101478236507,Benjamini-Hochberg FDR,0.05
PC2,9.591892713231095,Benjamini-Hochberg FDR,0.05
PC2,19.867907108854432,Benjamini-Hochberg FDR,0.05
PC2,10.383250689738793,Benjamini-Hochberg FDR,0.05
PC2,3.3162823121183465,Benjamini-Hochberg FDR,0.05
PC2,20.855607845938074,Benjamini-Hochberg FDR,0.05
PC2,19.80250225921935,Benjamini-Hochberg FDR,0.05
PC2,5.883426518235289,Benjamini-Hochberg FDR,0.05
PC2,6.913403045680635,Benjamini-Hochberg FDR,0.05
PC2,20.44712325973063,Benjamini-Hochberg FDR,0.05
PC2,13.811984462985738,Benjamini-Hochberg FDR,0.05
PC2,10.868123251805466,Benjamini-Hochberg FDR,0.05
PC2,2.0836539907227127,Benjamini-Hochberg FDR,0.05
PC2,7.066975038756155,Benjamini-Hochberg FDR,0.05
PC2,13.942959492639122,Benjamini-Hochberg FDR,0.05
PC2,1.0932202045875812,Benjamini-Hochberg FDR,0.05
PC2,14.071920198727941,Benjamini-Hochberg FDR,0.05
PC2,14.765266639060911,Benjamini-Hochberg FDR,0.05
PC2,21.697448483990343,Benjamini-Hochberg FDR,0.05
PC2,21.181822961405153,Benjamini-Hochberg FDR,0.05
PC2,10.744492714945983,Benjamini-Hochberg FDR,0.05
PC2,19.987134654667425,Benjamini-Hochberg FDR,0.05
PC2,6.737641111128795,Benjamini-Hochberg FDR,0.05
PC2,19.165315640182563,Benjamini-Hochberg FDR,0.05
PC2,13.17392907002711,Benjamini-Hochberg FDR,0.05
PC2,2.749152435863671,Benjamini-Hochberg FDR,0.05
PC2,9.548390933006848,Benjamini-Hochberg FDR,0.05
PC2,0.402837817109301,Benjamini-Hochberg FDR,0.05
PC2,5.923320353304845,Benjamini-Hochberg FDR,0.05
PC2,10.50131223622459,Benjamini-Hochberg FDR,0.05
PC2,9.04089708078458,Benjamini-Hochberg FDR,0.05
PC2,19.322503925535507,Benjamini-Hochberg FDR,0.05
PC2,18.17624329037595,Benjamini-Hochberg FDR,0.05
PC2,7.2793473734043985,Benjamini-Hochberg FDR,0.05
PC2,20.14664975936277,Benjamini-Hochberg FDR,0.05
PC2,18.216914593816377,Benjamini-Hochberg FDR,0.05
PC2,3.3342109159423643,Benjamini-Hochberg FDR,0.05
PC2,10.782354203666745,Benjamini-Hochberg FDR,0.05
PC2,7.7207409354570835,Benjamini-Hochberg FDR,0.05
PC2,21.719865852992093,Benjamini-Hochberg FDR,0.05
PC2,2.994083568236057,Benjamini-Hochberg FDR,0.05
PC2,20.88871488493364,Benjamini-Hochberg FDR,0.05
PC2,18.0674437101272,Benjamini-Hochberg FDR,0.05
PC2,21.669351731104904,Benjamini-Hochberg FDR,0.05
PC2,21.3305699042077,Benjamini-Hochberg FDR,0.05
PC2,19.303259645909435,Benjamini-Hochberg FDR,0.05
PC2,11.617505904394896,Benjamini-Hochberg FDR,0.05
PC2,11.796312214997702,Benjamini-Hochberg FDR,0.05
PC2,11.743098772822254,Benjamini-Hochberg FDR,0.05
PC2,9.455413996291638,Benjamini-Hochberg FDR,0.05
PC2,2.569605077835348,Benjamini-Hochberg FDR,0.05
PC2,10.587043851942644,Benjamini-Hochberg FDR,0.05
PC2,12.975097114805177,Benjamini-Hochberg FDR,0.05
PC2,13.644470395249684,Benjamini-Hochberg FDR,0.05
