ACCOUNTID,game_count
200426579,2877
200456627,2672
200441609,2656
200404630,2645
200388371,2590
200496835,2568
200554150,2561
200461274,2533
200661245,2513
200566856,2501
200433237,2417
200685920,2338
200498852,2296
200444995,2283
200896808,2257
200435899,2249
200373691,2227
200412536,2222
200424066,2205
200733226,2199
200397636,2188
200666345,2177
200706153,2163
200422589,2153
200460806,2153
200379348,2144
200370643,2144
200399515,2142
200396719,2137
200699019,2135
200636479,2118
200411241,2115
200412652,2112
200401083,2111
200626020,2103
200532409,2085
200558044,2080
200666180,2075
200370619,2074
200449039,2065
200395452,2059
200444910,2056
200458600,2047
200429373,2043
200401618,2043
200704332,2041
200381272,2035
200392467,2025
200755677,2019
200698330,2015
200438402,2014
200477449,2011
200407780,1999
200500616,1994
200638227,1987
200612827,1975
200409184,1974
200372334,1971
200730638,1967
200529647,1961
200548704,1954
200451518,1946
200711592,1945
200403583,1944
200449481,1939
200763296,1932
200652335,1931
200485611,1926
200598772,1923
200552632,1921
200403310,1918
200584899,1907
200465549,1896
200433558,1892
200778370,1892
200666048,1888
200655752,1887
200391706,1884
200513607,1876
200385838,1876
200566043,1873
200431433,1871
200430943,1869
200370314,1867
200456499,1860
200820920,1858
200410728,1856
200514831,1856
200586612,1852
200595690,1844
200411265,1844
200733242,1843
200440734,1831
200713206,1831
200560628,1827
200367972,1827
200373437,1822
200761867,1810
200401885,1807
200813937,1805
200660803,1803
200393322,1802
200712301,1796
200552002,1796
200442115,1794
200811806,1792
200528737,1783
200395284,1780
200396674,1779
200720245,1779
200397944,1777
200477094,1777
200692200,1777
200431421,1766
200735090,1761
200403401,1759
200418509,1758
200398266,1757
200426395,1756
200491291,1750
200869626,1748
200427422,1745
200602810,1744
200455993,1744
200723398,1741
200379977,1741
200371718,1741
200401635,1736
200708669,1736
200415284,1736
200398956,1735
200432289,1733
200400452,1733
200565351,1731
200423541,1730
200559196,1728
200396332,1726
200458894,1726
200430477,1725
200391687,1725
200755564,1724
200602303,1720
200415365,1720
200399498,1718
200386835,1718
200391339,1716
200403898,1713
200381955,1712
200708660,1711
200503929,1711
200462052,1710
200480524,1708
200731346,1706
200479143,1705
200541534,1705
200412848,1703
200410111,1700
200542747,1699
200363707,1695
200440778,1694
200455741,1690
200404673,1689
200480634,1688
200883005,1687
200483576,1686
200372569,1685
200558673,1685
200799851,1684
200507039,1684
200808755,1682
200746244,1682
200777745,1680
200441184,1676
200383985,1674
200466035,1673
200394053,1670
200382530,1670
200415286,1668
200561060,1667
200626202,1664
200486440,1662
200415164,1662
200369197,1657
200393373,1656
200451448,1656
200429706,1654
200689325,1654
200558093,1650
200427926,1647
200482709,1647
200731491,1646
200398275,1645
200385937,1643
200371995,1642
200495839,1642
200466629,1642
200374149,1641
200377762,1641
200491948,1640
200668955,1640
200364702,1639
200416759,1639
200487599,1639
200749129,1637
200729270,1637
200615961,1637
200396036,1635
200559250,1635
200461980,1633
200391127,1627
200384216,1624
200495876,1624
200401872,1623
200423091,1619
200731006,1618
200436142,1617
200511026,1617
200495086,1617
200381755,1616
200826488,1616
200477907,1612
200381979,1608
200451422,1607
200381126,1605
200369186,1605
200737054,1605
200467796,1602
200403651,1602
200824818,1602
200456509,1599
200426225,1599
200601341,1599
200636506,1598
200385591,1598
200473474,1598
200484768,1596
200530742,1595
200448266,1593
200368104,1592
200553447,1591
200733000,1591
200401576,1590
200501493,1589
200375136,1584
200474627,1583
200587074,1582
200419329,1581
200664193,1580
200490370,1580
200401310,1580
200791068,1580
200404890,1579
200877545,1578
200374148,1574
200459718,1573
200502097,1572
200387084,1571
200575856,1570
200390019,1561
200445247,1561
200398059,1561
200377094,1561
200809847,1560
200396148,1560
200426924,1559
200567721,1557
200476443,1556
200455123,1556
200710444,1552
200396760,1551
200650738,1549
200619086,1548
200450656,1547
200451723,1546
200467018,1543
200455445,1542
200727985,1542
200444244,1541
200732773,1538
200758104,1538
200410274,1537
200392439,1536
200519622,1534
200476504,1533
200475483,1532
200509789,1530
200380730,1527
200760090,1526
200376297,1525
200490810,1524
200511927,1524
200819499,1522
200499004,1522
200368077,1520
200486274,1518
200374897,1518
200417109,1517
200438248,1517
200599198,1516
200780610,1515
200387364,1515
200405547,1515
200369220,1515
200691879,1513
200377518,1512
200391958,1509
200372800,1507
200391121,1506
200420753,1505
200435679,1505
200370263,1505
200397144,1505
200539845,1504
200508631,1503
200813172,1502
200373079,1502
200394966,1501
200481118,1501
200406506,1500
200695869,1500
200396301,1500
200403589,1499
200868178,1498
200475116,1496
200375807,1495
200684430,1494
200460593,1493
200527340,1492
200441331,1491
200427266,1489
200371242,1489
200730405,1485
200449156,1485
200698450,1483
200381214,1483
200387884,1479
200731057,1478
200552671,1477
200382891,1477
200470379,1476
200377047,1475
200429083,1475
200654233,1473
200378043,1472
200474056,1471
200847474,1470
200444183,1470
200374668,1470
200636102,1470
200626166,1470
200403352,1469
200820398,1468
200388716,1465
200417647,1465
200370303,1464
200707455,1463
200370789,1463
200788130,1463
200454196,1462
200388954,1460
200451253,1460
200495478,1460
200487998,1459
200481937,1459
200618589,1459
200563289,1456
200484587,1455
200414981,1455
200747174,1452
200729516,1451
200366462,1451
200482635,1451
200399136,1450
200417345,1449
200841860,1448
200445478,1448
200533484,1448
200390976,1447
200430516,1447
200436529,1446
200442955,1445
200455687,1444
200544390,1443
200820916,1443
200561138,1443
200404916,1442
200381671,1442
200417506,1442
200426086,1441
200419104,1441
200408120,1440
200428361,1439
200481561,1438
200632936,1438
200456271,1437
200421031,1437
200385536,1437
200634432,1436
200363767,1436
200379016,1435
200736458,1434
200650163,1434
200727436,1434
200383896,1431
200375612,1431
200455958,1430
200434888,1429
200797375,1429
200388501,1426
200404664,1426
200680727,1426
200374455,1423
200597967,1422
200383582,1422
200513081,1422
200437364,1421
200488934,1420
200417355,1417
200396092,1417
200502166,1417
200394900,1416
200424352,1415
200396204,1415
200413810,1415
200620487,1414
200672021,1414
200852603,1412
200458556,1411
200462075,1411
200423792,1411
200416594,1409
200704435,1408
200429606,1408
200453238,1408
200388351,1407
200514119,1407
200472590,1407
200395885,1406
200368825,1405
200445998,1403
200388465,1403
200520592,1403
200381413,1402
200487458,1399
200469955,1399
200454735,1399
200727963,1398
200398304,1397
200585005,1397
200428377,1392
200492806,1392
200705260,1391
200686815,1391
200432103,1391
200474313,1390
200634330,1389
200374465,1388
200381228,1388
200370728,1387
200454633,1386
200379785,1386
200398791,1386
200644280,1385
200404780,1385
200503462,1385
200442247,1384
200678963,1384
200415235,1384
200387159,1382
200503308,1382
200736642,1380
200412157,1380
200510294,1379
200789329,1379
200430147,1379
200377797,1379
200565328,1378
200388329,1378
200790145,1377
200415684,1377
200523996,1376
200521157,1376
200735632,1375
200724087,1374
200455929,1374
200857288,1374
200439226,1374
200442610,1373
200421769,1373
200384805,1371
200409812,1371
200476285,1371
200448882,1370
200731043,1370
200384285,1366
200858158,1364
200489181,1364
200427073,1364
200461028,1364
200766080,1364
200507625,1362
200555581,1361
200421767,1361
200606564,1360
200488739,1358
200421913,1357
200695525,1357
200456169,1356
200724701,1356
200398147,1356
200510202,1355
200576503,1355
200736767,1355
200499718,1355
200434544,1354
200652097,1354
200404170,1354
200736701,1354
200828316,1352
200466599,1352
200544364,1352
200607538,1352
200398795,1351
