local_hour,win_rate,n_win_records
0,0.5058385035149451,1199023
1,0.5059438065312033,937867
2,0.5055314266983528,695571
3,0.5060295773562348,531961
4,0.5027438642904385,55943
5,0.5294117647058824,34
6,0.46107784431137727,167
7,0.5104895104895105,429
8,0.5221238938053098,565
9,0.49230769230769234,780
10,0.5021786492374728,918
11,0.5,28
12,0.5090181588053364,97969
13,0.5092126102287021,153431
14,0.5082703610411419,190560
15,0.5065146008693615,712937
16,0.5055733911785972,864375
17,0.5046972136848178,930871
18,0.5048944697693877,922674
19,0.5043606426795729,1006847
20,0.5063740486887326,1282309
21,0.5066918528342693,1453708
22,0.5076473530242518,1497577
23,0.5068291110550033,1374337
