metric,phase_local_peak,correction,alpha
PC2,16.17032510028678,Benjamini-Hochberg FDR,0.05
PC2,2.969096834122018,Benjamini-Hochberg FDR,0.05
PC2,21.674424657250285,Benjamini-Hochberg FDR,0.05
PC2,9.862296697023512,Benjamini-Hochberg FDR,0.05
PC2,0.042498432620853066,Benjamini-Hochberg FDR,0.05
PC2,13.309104803562061,Benjamini-Hochberg FDR,0.05
PC2,16.125116186059742,Benjamini-Hochberg FDR,0.05
PC2,11.995457826087947,Benjamini-Hochberg FDR,0.05
PC2,11.812619734741112,Benjamini-Hochberg FDR,0.05
PC2,20.093489806035937,Benjamini-Hochberg FDR,0.05
PC2,0.8747152312778059,Benjamini-Hochberg FDR,0.05
PC2,5.242455895180212,Benjamini-Hochberg FDR,0.05
PC2,22.352134190750906,Benjamini-Hochberg FDR,0.05
PC2,6.262640407428886,Benjamini-Hochberg FDR,0.05
PC2,18.81670094483536,Benjamini-Hochberg FDR,0.05
PC2,7.0041600136206235,Benjamini-Hochberg FDR,0.05
PC2,13.151321575149328,Benjamini-Hochberg FDR,0.05
PC2,15.417798978741452,Benjamini-Hochberg FDR,0.05
PC2,8.045579386410722,Benjamini-Hochberg FDR,0.05
PC2,13.138375886288237,Benjamini-Hochberg FDR,0.05
PC2,14.622949752099213,Benjamini-Hochberg FDR,0.05
PC2,10.89049234092533,Benjamini-Hochberg FDR,0.05
PC2,12.421535177212956,Benjamini-Hochberg FDR,0.05
PC2,15.36539786891073,Benjamini-Hochberg FDR,0.05
PC2,0.15080669089746035,Benjamini-Hochberg FDR,0.05
PC2,19.080228889697516,Benjamini-Hochberg FDR,0.05
PC2,17.334965195423063,Benjamini-Hochberg FDR,0.05
PC2,6.866589773354118,Benjamini-Hochberg FDR,0.05
PC2,8.764955418488283,Benjamini-Hochberg FDR,0.05
PC2,20.03264791436002,Benjamini-Hochberg FDR,0.05
PC2,20.147849799398642,Benjamini-Hochberg FDR,0.05
PC2,1.4287895044408678,Benjamini-Hochberg FDR,0.05
