ACCOUNTID,game_count
203452933,2448
204419427,2266
203625047,2239
204281719,2229
203546740,2118
204043190,2007
204136362,1921
204256244,1886
204588977,1873
204320019,1872
204042621,1841
204423221,1835
202796955,1756
204218733,1742
204288574,1721
204255400,1720
204539895,1712
203408969,1692
204360177,1692
204178309,1691
204244572,1690
200421565,1658
204480362,1645
204131732,1638
203996618,1628
202632858,1628
204323532,1606
204174008,1596
203161766,1585
204697405,1570
204243832,1562
202073856,1562
203604277,1561
202679377,1560
204338643,1540
203832733,1538
204275853,1535
204212631,1527
204419963,1518
201544377,1512
204402880,1502
200342406,1498
204131321,1454
204282100,1453
204352959,1446
201261415,1443
204067077,1434
203938526,1433
204502396,1429
204118864,1427
204434915,1422
678408,1418
203538328,1412
204340869,1408
204222566,1407
203829963,1404
204136538,1403
204411986,1400
204091388,1395
200341784,1389
203764807,1386
204249649,1385
204157419,1385
202588109,1384
200383660,1381
202848645,1381
204667599,1378
202586838,1374
204102673,1371
204407696,1369
201547934,1359
204336937,1358
203649135,1352
204111935,1351
204114284,1350
202367669,1348
204138109,1346
204367836,1346
204487386,1346
200525974,1346
204138590,1333
204756966,1333
204281583,1331
204223502,1331
204193781,1327
204091880,1321
203327674,1320
204137832,1319
201184295,1319
201602458,1316
204333285,1314
203833037,1313
202960355,1312
204494689,1310
203874815,1310
204325585,1307
202981250,1304
203759917,1302
203844069,1300
203803650,1291
204335800,1290
204507798,1290
204205382,1285
204227668,1283
203345938,1280
203830293,1276
204226089,1275
203983315,1275
201166521,1260
203843670,1260
203560019,1259
202790830,1258
204369520,1257
204181002,1257
203962718,1256
204182543,1255
204252571,1255
204152649,1253
200467650,1250
204363165,1248
203864232,1246
204799498,1245
201162579,1244
204577168,1243
202410576,1242
204103694,1241
204039322,1239
200771588,1235
202838993,1235
203782200,1234
203930827,1230
204047207,1227
204047170,1227
204636842,1224
200829606,1220
203490960,1219
203880075,1217
203147870,1214
203892320,1214
204302177,1212
204532655,1210
204528815,1209
204465194,1209
200642093,1208
203638017,1206
204429336,1205
204085296,1205
201752723,1197
203998241,1195
203419587,1194
203930202,1193
204162497,1193
204008391,1192
203819292,1189
204791408,1187
201718168,1186
201472666,1185
202332870,1184
204377369,1183
412087,1180
203980068,1179
204010352,1175
201854169,1175
204489060,1174
204262796,1174
203662635,1174
203086896,1171
1005582,1170
204189011,1169
204300804,1168
204440515,1167
203833722,1166
203519903,1165
202558964,1163
203876777,1162
203844064,1162
204235089,1159
202442568,1159
202763647,1158
204083637,1157
201698449,1153
203289324,1153
204416478,1151
204167186,1150
139100,1148
204198063,1148
200642861,1147
204182367,1145
204175992,1142
204157172,1141
204175581,1141
204707576,1140
204563683,1140
204174505,1138
203904308,1136
204308422,1136
200378310,1135
203419476,1134
204395466,1132
203673618,1130
204142580,1129
203041776,1129
204097727,1128
204224378,1128
204574464,1126
204247972,1123
204299572,1122
204478967,1121
203973600,1120
203953510,1119
187837,1115
204301259,1115
204146752,1114
203923873,1114
203341941,1111
202855245,1110
204358117,1108
204099566,1108
204095115,1106
203073543,1105
200126467,1105
204131373,1104
204148198,1101
204273338,1100
204165080,1099
203969223,1099
204547597,1097
204420078,1097
202711015,1097
204172446,1095
200057248,1095
200942867,1095
203786536,1095
204166313,1092
204508301,1091
