local_hour,win_rate,n_win_records
0,0.4890312867215041,272320
1,0.4890049418416453,185356
2,0.4906968259759212,112381
3,0.4815525990947744,21873
4,0.45988112927191677,1346
5,0.49057962318492737,24999
6,0.49165723465624883,54778
7,0.491094839474042,102974
8,0.4887167215076279,167150
9,0.4899223689950321,236117
10,0.49051052803423434,287898
11,0.489670587350153,318992
12,0.4885802381827954,353510
13,0.4895265576573688,392994
14,0.49010861769104197,426634
15,0.49100651861672745,452550
16,0.4904680201046776,462181
17,0.48946112525717106,462241
18,0.48965375003565403,455769
19,0.48967835914756663,452399
20,0.49100446264292835,448389
21,0.4890510620694617,444792
22,0.4895964055349827,421537
23,0.49006514840605064,356724
