metric,phase_local_peak,correction,alpha
PC1,22.075828162570843,Benjamini-Hochberg FDR,0.05
PC1,13.125976798333465,Benjamini-Hochberg FDR,0.05
PC1,15.637570983921727,Benjamini-Hochberg FDR,0.05
PC1,5.191179612107417,Benjamini-Hochberg FDR,0.05
PC1,15.41797374841893,Benjamini-Hochberg FDR,0.05
PC1,3.811158205236376,Benjamini-Hochberg FDR,0.05
PC1,1.4556721299325508,Benjamini-Hochberg FDR,0.05
PC1,21.972253174962972,Benjamini-Hochberg FDR,0.05
PC1,6.566897850151783,Benjamini-Hochberg FDR,0.05
PC1,16.013509720874442,Benjamini-Hochberg FDR,0.05
PC1,17.609885083572966,Benjamini-Hochberg FDR,0.05
PC1,20.272626218848337,Benjamini-Hochberg FDR,0.05
PC1,23.354200864585035,Benjamini-Hochberg FDR,0.05
PC1,22.81523353442537,Benjamini-Hochberg FDR,0.05
PC1,19.060561719417436,Benjamini-Hochberg FDR,0.05
PC1,19.163753158055023,Benjamini-Hochberg FDR,0.05
PC1,4.513098994109317,Benjamini-Hochberg FDR,0.05
PC1,8.042829452646355,Benjamini-Hochberg FDR,0.05
PC1,17.352300698342596,Benjamini-Hochberg FDR,0.05
PC1,13.593513779877544,Benjamini-Hochberg FDR,0.05
PC1,3.42450569250037,Benjamini-Hochberg FDR,0.05
PC1,21.901057762553066,Benjamini-Hochberg FDR,0.05
PC1,3.211678428819365,Benjamini-Hochberg FDR,0.05
PC1,23.469548698932698,Benjamini-Hochberg FDR,0.05
PC1,0.9374350328467074,Benjamini-Hochberg FDR,0.05
PC1,7.694024439748729,Benjamini-Hochberg FDR,0.05
PC1,21.697627802081673,Benjamini-Hochberg FDR,0.05
PC1,22.920466092514204,Benjamini-Hochberg FDR,0.05
PC1,20.37021172385348,Benjamini-Hochberg FDR,0.05
PC1,16.444472216725842,Benjamini-Hochberg FDR,0.05
PC1,1.8134056817289288,Benjamini-Hochberg FDR,0.05
PC1,2.6527093574852767,Benjamini-Hochberg FDR,0.05
PC1,9.651623152372874,Benjamini-Hochberg FDR,0.05
PC1,20.88357451098084,Benjamini-Hochberg FDR,0.05
PC1,7.389463615422708,Benjamini-Hochberg FDR,0.05
PC1,0.8795434358629368,Benjamini-Hochberg FDR,0.05
PC1,18.63454843781098,Benjamini-Hochberg FDR,0.05
PC1,19.633242275448087,Benjamini-Hochberg FDR,0.05
PC1,22.08324353235468,Benjamini-Hochberg FDR,0.05
PC1,13.533855878012009,Benjamini-Hochberg FDR,0.05
PC1,20.351651634088732,Benjamini-Hochberg FDR,0.05
PC1,9.245328994084202,Benjamini-Hochberg FDR,0.05
PC1,14.272837242890368,Benjamini-Hochberg FDR,0.05
PC1,13.177056324531943,Benjamini-Hochberg FDR,0.05
PC1,17.931645174324526,Benjamini-Hochberg FDR,0.05
PC1,19.03373941699542,Benjamini-Hochberg FDR,0.05
PC1,18.040373434566572,Benjamini-Hochberg FDR,0.05
PC1,8.707574698341627,Benjamini-Hochberg FDR,0.05
PC1,4.570685550699537,Benjamini-Hochberg FDR,0.05
PC1,3.6057686712866435,Benjamini-Hochberg FDR,0.05
PC1,15.892494566586194,Benjamini-Hochberg FDR,0.05
PC1,11.58260043040622,Benjamini-Hochberg FDR,0.05
PC1,18.919245339357552,Benjamini-Hochberg FDR,0.05
PC1,11.300769749334862,Benjamini-Hochberg FDR,0.05
PC1,11.689935916551438,Benjamini-Hochberg FDR,0.05
PC1,0.581705412639689,Benjamini-Hochberg FDR,0.05
PC1,0.8036005330645724,Benjamini-Hochberg FDR,0.05
PC1,23.810059905076553,Benjamini-Hochberg FDR,0.05
PC1,1.1822064967812693,Benjamini-Hochberg FDR,0.05
PC1,0.46918038881777324,Benjamini-Hochberg FDR,0.05
PC1,0.2768635282764116,Benjamini-Hochberg FDR,0.05
PC1,23.24454659961706,Benjamini-Hochberg FDR,0.05
PC1,21.66989120958745,Benjamini-Hochberg FDR,0.05
PC1,22.791855301167303,Benjamini-Hochberg FDR,0.05
PC1,6.423784094590532,Benjamini-Hochberg FDR,0.05
PC1,22.663821237524754,Benjamini-Hochberg FDR,0.05
PC1,6.45170934749814,Benjamini-Hochberg FDR,0.05
PC1,0.07641762271653008,Benjamini-Hochberg FDR,0.05
PC1,4.531789666900874,Benjamini-Hochberg FDR,0.05
PC1,6.639586420001969,Benjamini-Hochberg FDR,0.05
PC1,14.10571860817193,Benjamini-Hochberg FDR,0.05
PC1,20.640391503353868,Benjamini-Hochberg FDR,0.05
PC1,3.862613863676552,Benjamini-Hochberg FDR,0.05
PC1,12.272058561479717,Benjamini-Hochberg FDR,0.05
PC1,19.3213756334063,Benjamini-Hochberg FDR,0.05
PC1,4.139519379347417,Benjamini-Hochberg FDR,0.05
PC1,17.521600506407484,Benjamini-Hochberg FDR,0.05
PC1,13.64822785669606,Benjamini-Hochberg FDR,0.05
PC1,11.96713458506235,Benjamini-Hochberg FDR,0.05
PC1,22.747728958924913,Benjamini-Hochberg FDR,0.05
PC1,1.5644763861386863,Benjamini-Hochberg FDR,0.05
PC1,12.89862492131131,Benjamini-Hochberg FDR,0.05
PC1,23.229970263749316,Benjamini-Hochberg FDR,0.05
PC1,10.825629350730532,Benjamini-Hochberg FDR,0.05
PC1,22.17861590430856,Benjamini-Hochberg FDR,0.05
PC1,15.17656261267988,Benjamini-Hochberg FDR,0.05
PC1,8.848238770786025,Benjamini-Hochberg FDR,0.05
PC1,14.744794988661592,Benjamini-Hochberg FDR,0.05
PC1,18.71535299411436,Benjamini-Hochberg FDR,0.05
PC1,17.33398730017378,Benjamini-Hochberg FDR,0.05
PC1,5.411606239098063,Benjamini-Hochberg FDR,0.05
PC1,20.493064354765792,Benjamini-Hochberg FDR,0.05
PC1,16.964775697298435,Benjamini-Hochberg FDR,0.05
PC1,22.337778311886424,Benjamini-Hochberg FDR,0.05
PC1,22.422841062909644,Benjamini-Hochberg FDR,0.05
PC1,15.392933774357111,Benjamini-Hochberg FDR,0.05
PC1,17.92743739593136,Benjamini-Hochberg FDR,0.05
PC1,5.497739675161991,Benjamini-Hochberg FDR,0.05
PC1,7.246368197324836,Benjamini-Hochberg FDR,0.05
PC1,8.100217568959577,Benjamini-Hochberg FDR,0.05
PC1,0.3914102622113864,Benjamini-Hochberg FDR,0.05
PC1,22.990151484481203,Benjamini-Hochberg FDR,0.05
PC1,13.767632041612146,Benjamini-Hochberg FDR,0.05
PC1,4.443379668199553,Benjamini-Hochberg FDR,0.05
PC1,18.679446662596618,Benjamini-Hochberg FDR,0.05
PC1,18.273534111154717,Benjamini-Hochberg FDR,0.05
PC1,19.7602493715507,Benjamini-Hochberg FDR,0.05
PC1,6.266725099674444,Benjamini-Hochberg FDR,0.05
PC1,22.99779666950647,Benjamini-Hochberg FDR,0.05
PC1,3.494744835597075,Benjamini-Hochberg FDR,0.05
PC1,22.539335332995613,Benjamini-Hochberg FDR,0.05
PC1,11.655878303312782,Benjamini-Hochberg FDR,0.05
PC1,7.776098080922308,Benjamini-Hochberg FDR,0.05
PC1,13.161749182014471,Benjamini-Hochberg FDR,0.05
PC1,5.271103810762474,Benjamini-Hochberg FDR,0.05
PC1,17.532233628918405,Benjamini-Hochberg FDR,0.05
PC1,14.603325804412066,Benjamini-Hochberg FDR,0.05
PC1,17.066038190663008,Benjamini-Hochberg FDR,0.05
PC1,17.557484662736005,Benjamini-Hochberg FDR,0.05
PC1,1.4064107783765438,Benjamini-Hochberg FDR,0.05
PC1,13.199678320651813,Benjamini-Hochberg FDR,0.05
PC1,8.594516907975168,Benjamini-Hochberg FDR,0.05
PC1,22.806596217749654,Benjamini-Hochberg FDR,0.05
PC1,15.112114363533848,Benjamini-Hochberg FDR,0.05
PC1,11.063316206858769,Benjamini-Hochberg FDR,0.05
PC1,23.569047202451095,Benjamini-Hochberg FDR,0.05
PC1,8.234151659975678,Benjamini-Hochberg FDR,0.05
PC1,21.22114300163401,Benjamini-Hochberg FDR,0.05
PC1,2.3292003792184675,Benjamini-Hochberg FDR,0.05
PC1,14.007695491290168,Benjamini-Hochberg FDR,0.05
PC1,13.935299576499652,Benjamini-Hochberg FDR,0.05
PC1,5.32311506364101,Benjamini-Hochberg FDR,0.05
PC1,3.4680862987968144,Benjamini-Hochberg FDR,0.05
PC1,14.717085044445007,Benjamini-Hochberg FDR,0.05
PC1,3.533769212232693,Benjamini-Hochberg FDR,0.05
PC1,0.5229849756409255,Benjamini-Hochberg FDR,0.05
PC1,7.526864766217335,Benjamini-Hochberg FDR,0.05
PC1,7.128931685973431,Benjamini-Hochberg FDR,0.05
PC1,5.363080035073466,Benjamini-Hochberg FDR,0.05
PC1,19.243996967811242,Benjamini-Hochberg FDR,0.05
PC1,0.08993482002331543,Benjamini-Hochberg FDR,0.05
PC1,3.2587441940343354,Benjamini-Hochberg FDR,0.05
PC1,19.63515862262684,Benjamini-Hochberg FDR,0.05
PC1,14.347193879472421,Benjamini-Hochberg FDR,0.05
PC1,11.400088378121044,Benjamini-Hochberg FDR,0.05
PC1,10.49701815180319,Benjamini-Hochberg FDR,0.05
PC1,1.3592455952405968,Benjamini-Hochberg FDR,0.05
PC1,7.062718718320795,Benjamini-Hochberg FDR,0.05
PC1,11.540737710252081,Benjamini-Hochberg FDR,0.05
PC1,12.117085937519224,Benjamini-Hochberg FDR,0.05
PC1,5.896216056106155,Benjamini-Hochberg FDR,0.05
PC1,15.786756058343538,Benjamini-Hochberg FDR,0.05
PC1,17.44853377877729,Benjamini-Hochberg FDR,0.05
PC1,3.8727950267514846,Benjamini-Hochberg FDR,0.05
PC1,17.282648240469804,Benjamini-Hochberg FDR,0.05
PC1,1.0480890668705314,Benjamini-Hochberg FDR,0.05
PC1,17.477028480153354,Benjamini-Hochberg FDR,0.05
PC1,7.591618188272635,Benjamini-Hochberg FDR,0.05
PC1,2.2556137186051277,Benjamini-Hochberg FDR,0.05
PC1,9.598211650410027,Benjamini-Hochberg FDR,0.05
PC1,16.72006911528802,Benjamini-Hochberg FDR,0.05
PC1,20.01170879929151,Benjamini-Hochberg FDR,0.05
PC1,23.4170351696673,Benjamini-Hochberg FDR,0.05
PC1,23.478140009813284,Benjamini-Hochberg FDR,0.05
PC1,4.394338189645554,Benjamini-Hochberg FDR,0.05
PC1,23.550830911709415,Benjamini-Hochberg FDR,0.05
PC1,1.633015535990178,Benjamini-Hochberg FDR,0.05
PC1,18.669728020843582,Benjamini-Hochberg FDR,0.05
PC1,7.310107068109625,Benjamini-Hochberg FDR,0.05
PC1,19.73853334596484,Benjamini-Hochberg FDR,0.05
PC1,21.971614093758514,Benjamini-Hochberg FDR,0.05
PC1,17.36498379695309,Benjamini-Hochberg FDR,0.05
PC1,5.179682495252841,Benjamini-Hochberg FDR,0.05
PC1,22.909165759984404,Benjamini-Hochberg FDR,0.05
PC1,23.216068807111075,Benjamini-Hochberg FDR,0.05
PC1,22.988634052322205,Benjamini-Hochberg FDR,0.05
PC1,20.98805795331684,Benjamini-Hochberg FDR,0.05
PC1,4.7523326828454575,Benjamini-Hochberg FDR,0.05
PC1,7.07810137662468,Benjamini-Hochberg FDR,0.05
PC1,23.968039424026852,Benjamini-Hochberg FDR,0.05
PC1,19.884097157515615,Benjamini-Hochberg FDR,0.05
PC1,4.843233211502822,Benjamini-Hochberg FDR,0.05
PC1,20.133570468227155,Benjamini-Hochberg FDR,0.05
PC1,22.731593451448838,Benjamini-Hochberg FDR,0.05
PC1,13.45735120045358,Benjamini-Hochberg FDR,0.05
PC1,13.848478993765177,Benjamini-Hochberg FDR,0.05
PC1,6.899439061741342,Benjamini-Hochberg FDR,0.05
PC1,19.560131796461608,Benjamini-Hochberg FDR,0.05
PC1,9.77897555368762,Benjamini-Hochberg FDR,0.05
PC1,23.889494266388514,Benjamini-Hochberg FDR,0.05
PC1,23.184626864843388,Benjamini-Hochberg FDR,0.05
PC1,8.75845491259923,Benjamini-Hochberg FDR,0.05
PC1,19.902774800678458,Benjamini-Hochberg FDR,0.05
PC1,10.888103572411456,Benjamini-Hochberg FDR,0.05
PC1,23.328143119584382,Benjamini-Hochberg FDR,0.05
PC1,17.984050179076736,Benjamini-Hochberg FDR,0.05
PC1,0.360637987933325,Benjamini-Hochberg FDR,0.05
PC1,0.6567863860608556,Benjamini-Hochberg FDR,0.05
PC1,3.5158558669501723,Benjamini-Hochberg FDR,0.05
PC1,0.4070979427583028,Benjamini-Hochberg FDR,0.05
PC1,2.0278021987924664,Benjamini-Hochberg FDR,0.05
PC1,17.95373195969671,Benjamini-Hochberg FDR,0.05
PC1,19.066311085829536,Benjamini-Hochberg FDR,0.05
PC1,10.83339275414246,Benjamini-Hochberg FDR,0.05
PC1,0.7855894963003252,Benjamini-Hochberg FDR,0.05
PC1,6.4010905202919,Benjamini-Hochberg FDR,0.05
PC1,12.425863499419417,Benjamini-Hochberg FDR,0.05
PC1,22.74732837218906,Benjamini-Hochberg FDR,0.05
PC1,19.348628790029085,Benjamini-Hochberg FDR,0.05
PC1,2.8930148280209806,Benjamini-Hochberg FDR,0.05
PC1,19.603325709988994,Benjamini-Hochberg FDR,0.05
PC1,21.67883552856559,Benjamini-Hochberg FDR,0.05
PC1,22.020824043347528,Benjamini-Hochberg FDR,0.05
PC1,0.7572565401345432,Benjamini-Hochberg FDR,0.05
PC1,0.6676256853745883,Benjamini-Hochberg FDR,0.05
PC1,19.09811912822864,Benjamini-Hochberg FDR,0.05
PC1,23.4609555195814,Benjamini-Hochberg FDR,0.05
PC1,2.2217076269664977,Benjamini-Hochberg FDR,0.05
PC1,23.458387493421473,Benjamini-Hochberg FDR,0.05
PC1,17.831595596078344,Benjamini-Hochberg FDR,0.05
