ACCOUNTID,game_count
231451581,3098
231381821,2640
215226854,2609
231936646,2577
232647975,2540
231632712,2493
231602906,2461
231795050,2439
226584598,2382
231571279,2365
232325211,2338
228190907,2336
207133881,2242
226637038,2229
231479740,2172
32739292,2169
231760956,2144
232450811,2107
230116341,2092
211965778,2086
232408310,2083
231018584,2076
212843838,2058
201530624,2052
232713158,2046
231752832,2043
232597089,2034
230184303,2026
231812101,2021
232035207,2012
231696441,2010
231837459,1995
231893578,1994
229259073,1989
232567238,1988
227267185,1956
231316369,1953
232517585,1952
231981529,1944
450872,1933
229587119,1930
34973856,1924
227632024,1914
231776248,1898
231955294,1896
231899213,1896
231299776,1896
231502525,1896
232466357,1889
231542833,1888
231916186,1887
201727760,1884
231715075,1866
231818746,1865
232141815,1862
231719014,1861
232509952,1859
232621659,1854
229180827,1846
230680624,1844
210192319,1843
231724416,1840
230548369,1829
35877465,1826
232433083,1824
229234070,1824
232046247,1821
232879181,1817
227919900,1812
232633457,1811
213478835,1808
232822382,1805
231188658,1805
39811508,1800
232569312,1800
32386111,1795
221656287,1792
231697134,1792
232280669,1781
229263950,1779
50875876,1777
44737721,1774
232360637,1772
222369545,1769
49073926,1766
231211266,1765
233426665,1762
211214763,1761
232186602,1758
222808389,1755
213961395,1753
45020928,1751
219493275,1751
232471054,1751
231662221,1746
230413137,1740
228463092,1739
206925,1738
217586336,1738
230604618,1737
231001119,1733
227468122,1732
232167574,1732
231919906,1724
209698149,1721
226466522,1720
230894474,1719
232654803,1716
232384015,1716
232305851,1715
231459133,1715
232419597,1713
230580379,1712
227201547,1709
209403223,1705
231623933,1704
233112361,1704
219239791,1696
231705251,1692
212006429,1689
233701426,1689
34089291,1688
232354039,1683
43838763,1683
232042310,1681
231733639,1679
40273867,1673
232218252,1673
228918172,1672
231213178,1671
231901914,1664
208597767,1656
232956369,1651
232243683,1646
232610988,1643
221658286,1642
232902110,1641
232213135,1639
201685465,1631
231818314,1630
45662121,1630
231619358,1627
232206341,1627
231660287,1625
227554612,1621
226260293,1621
227203200,1620
228684752,1618
228705817,1617
232317661,1616
233028933,1612
232261301,1611
221838954,1610
232747589,1609
49064897,1609
213534699,1608
230189317,1606
45742016,1605
231851009,1604
231901480,1604
232109138,1602
221645655,1592
231180023,1592
231401032,1591
231704807,1591
229358157,1591
232459357,1587
222397620,1586
231089840,1585
230935353,1584
217422683,1584
212662530,1582
213006632,1579
105153,1579
226757559,1578
231410826,1577
233074669,1577
212859374,1577
231287745,1572
232912354,1571
230802480,1569
232419370,1568
214838975,1567
228170367,1565
232850952,1564
222990594,1563
36534267,1562
201278872,1562
231927076,1562
232542915,1557
231919349,1557
230998497,1556
232687517,1555
232546290,1551
215228707,1551
227524159,1549
232201593,1548
230062226,1547
231521468,1544
42077723,1542
232013766,1542
232501148,1541
232948500,1541
219621667,1541
212145939,1540
233794558,1539
226728975,1538
232015596,1537
35846468,1537
209092176,1537
232216382,1536
230144725,1536
205358578,1534
227175033,1533
230872342,1532
228840964,1531
232434914,1531
232156058,1531
232122541,1530
231476224,1530
231744354,1529
232726548,1529
231057212,1527
231410001,1526
225466171,1526
228284570,1526
232423499,1524
47795879,1524
232019224,1523
33035885,1518
232387738,1517
230811795,1516
232131396,1515
231513800,1515
219415404,1514
232487794,1510
233299517,1510
230556558,1507
232387041,1506
228287766,1505
222318032,1504
231718834,1503
232649568,1503
230933613,1500
232008272,1499
231471113,1499
231927026,1498
231610239,1498
230434956,1497
228936831,1496
230639964,1495
233026393,1493
218969960,1492
232539630,1486
226579435,1486
231803745,1485
231659186,1485
219343911,1485
228263128,1484
231853040,1481
232235803,1480
230790512,1480
232274674,1478
230324826,1478
228831111,1477
48051,1477
229517674,1476
231553381,1476
227778041,1473
42016979,1473
32975075,1472
218666960,1471
230320456,1470
232179419,1468
42759780,1468
231331581,1466
32585635,1465
232852110,1465
233395087,1464
226866493,1463
33557634,1462
229888897,1462
219035396,1462
231892384,1459
229802526,1459
231043632,1458
231879194,1458
232372162,1457
229208728,1457
230673785,1456
230867695,1454
232634106,1452
230814067,1449
230740994,1447
229069165,1445
33499390,1445
231030166,1445
49351961,1445
217653129,1445
44864615,1442
229571736,1441
231713733,1440
230746706,1439
230894167,1439
217204064,1438
231567293,1438
231587454,1437
41540370,1436
231571133,1435
227753972,1435
200650179,1435
231603477,1435
231771542,1434
38850172,1433
232549224,1433
232048126,1430
232267198,1429
45007054,1429
32096062,1427
231363332,1426
233650510,1425
36235299,1425
230756722,1424
221946815,1424
230357512,1424
230930413,1422
48046258,1421
230030045,1420
231275064,1419
229468462,1416
230902673,1416
208847328,1414
232116625,1413
230500446,1413
230596256,1413
230524238,1412
231317413,1412
231704458,1412
231725424,1412
225771557,1411
233231096,1410
231682693,1410
231572274,1409
232510780,1408
227606806,1408
231356795,1407
233019309,1407
129552,1405
42995220,1405
33999771,1405
230237506,1404
232163352,1403
231345353,1402
231678524,1400
231233814,1400
230121703,1400
227036055,1399
232598346,1397
49896205,1395
230192310,1394
232179831,1394
232043187,1391
232155283,1390
230912445,1389
231083006,1389
232812269,1389
223451614,1388
31878270,1388
230178046,1387
230556248,1387
226159699,1387
231788548,1387
231868436,1386
231854088,1385
229894584,1385
218543871,1385
232534101,1384
231883345,1383
47848656,1382
228891014,1382
225767297,1381
232261771,1380
232446970,1380
201784682,1378
41276402,1378
48194568,1377
232212672,1376
231764770,1376
232487236,1376
44287370,1375
231782168,1374
34930897,1373
41849585,1371
230408021,1371
232573368,1371
34673263,1366
215988999,1365
231587727,1364
230599689,1364
223046712,1363
217964889,1362
232484115,1361
51401967,1361
32827600,1361
232611661,1361
224846855,1360
227620062,1359
232812802,1359
232599171,1359
229528446,1358
232289664,1358
232720960,1357
219026808,1356
231164778,1356
231431563,1355
229798462,1354
231924037,1354
