local_hour,win_rate,n_win_records
0,0.4946959545586409,1592558
1,0.496550374475533,1267239
2,0.49610950721124814,952193
3,0.49682905542999084,670305
4,0.4961971462664789,455053
5,0.49790430716484624,334257
6,0.49607120530240495,289529
7,0.4952318070345483,307454
8,0.4945724064081298,381016
9,0.49441734333772136,518839
10,0.4939749989531155,692531
11,0.4944918690057705,846022
12,0.4949262605955119,1007738
13,0.4953318336173185,1165554
14,0.4941527624437081,1319683
15,0.49503946508574154,1464459
16,0.49417229560765136,1549581
17,0.49463996316357134,1604933
18,0.49440463008076063,1693275
19,0.4949350960067213,1797270
20,0.4945300615891834,1885396
21,0.4955058510586016,1933069
22,0.4953209031982511,1938622
23,0.49599939341366006,1885964
