metric,phase_local_peak,correction,alpha
PC2,10.413911880622015,Benjamini-Hochberg FDR,0.05
PC2,17.72850419813898,Benjamini-Hochberg FDR,0.05
PC2,16.647037935310674,Benjamini-Hochberg FDR,0.05
PC2,18.704389191957564,Benjamini-Hochberg FDR,0.05
PC2,11.01397262546234,Benjamini-Hochberg FDR,0.05
PC2,13.930285962586925,Benjamini-Hochberg FDR,0.05
PC2,6.8408845474912425,Benjamini-Hochberg FDR,0.05
PC2,1.9079790207314566,Benjamini-Hochberg FDR,0.05
PC2,7.413745445260357,Benjamini-Hochberg FDR,0.05
PC2,7.464883296677197,Benjamini-Hochberg FDR,0.05
PC2,9.369641685225908,Benjamini-Hochberg FDR,0.05
PC2,23.766252801204292,Benjamini-Hochberg FDR,0.05
PC2,12.758048361666024,Benjamini-Hochberg FDR,0.05
PC2,14.07874490428269,Benjamini-Hochberg FDR,0.05
PC2,5.871930103548898,Benjamini-Hochberg FDR,0.05
PC2,16.293647593778775,Benjamini-Hochberg FDR,0.05
PC2,14.771900414547323,Benjamini-Hochberg FDR,0.05
PC2,12.497327850107878,Benjamini-Hochberg FDR,0.05
PC2,14.587138860386123,Benjamini-Hochberg FDR,0.05
PC2,16.52773791702704,Benjamini-Hochberg FDR,0.05
PC2,7.038591068365836,Benjamini-Hochberg FDR,0.05
PC2,0.6654763135079094,Benjamini-Hochberg FDR,0.05
PC2,2.943323462979663,Benjamini-Hochberg FDR,0.05
PC2,13.748920989167557,Benjamini-Hochberg FDR,0.05
PC2,21.58531898838613,Benjamini-Hochberg FDR,0.05
PC2,13.621086667097583,Benjamini-Hochberg FDR,0.05
PC2,14.765596177403705,Benjamini-Hochberg FDR,0.05
PC2,22.403388592517036,Benjamini-Hochberg FDR,0.05
PC2,9.620410415268424,Benjamini-Hochberg FDR,0.05
PC2,15.968850224644548,Benjamini-Hochberg FDR,0.05
PC2,10.847392801543362,Benjamini-Hochberg FDR,0.05
PC2,14.861780007891308,Benjamini-Hochberg FDR,0.05
PC2,16.37086339429865,Benjamini-Hochberg FDR,0.05
PC2,21.84647187859423,Benjamini-Hochberg FDR,0.05
PC2,5.014950995126824,Benjamini-Hochberg FDR,0.05
PC2,16.219724842200705,Benjamini-Hochberg FDR,0.05
PC2,18.321481531629733,Benjamini-Hochberg FDR,0.05
PC2,8.955187748036018,Benjamini-Hochberg FDR,0.05
PC2,8.828574534346004,Benjamini-Hochberg FDR,0.05
PC2,13.701788853343915,Benjamini-Hochberg FDR,0.05
PC2,5.700386492989434,Benjamini-Hochberg FDR,0.05
PC2,12.455266072488627,Benjamini-Hochberg FDR,0.05
PC2,5.689305876045985,Benjamini-Hochberg FDR,0.05
PC2,16.38136836698812,Benjamini-Hochberg FDR,0.05
PC2,15.899798055057232,Benjamini-Hochberg FDR,0.05
PC2,1.4206109887661569,Benjamini-Hochberg FDR,0.05
PC2,5.086100116137519,Benjamini-Hochberg FDR,0.05
PC2,8.872676645100135,Benjamini-Hochberg FDR,0.05
PC2,10.620557195380337,Benjamini-Hochberg FDR,0.05
PC2,8.248178328714104,Benjamini-Hochberg FDR,0.05
PC2,19.1571806301137,Benjamini-Hochberg FDR,0.05
PC2,14.997274008579502,Benjamini-Hochberg FDR,0.05
PC2,11.855337032584854,Benjamini-Hochberg FDR,0.05
PC2,1.48257549451408,Benjamini-Hochberg FDR,0.05
PC2,5.39765537696865,Benjamini-Hochberg FDR,0.05
PC2,15.764105207925214,Benjamini-Hochberg FDR,0.05
PC2,22.227982820408737,Benjamini-Hochberg FDR,0.05
PC2,7.791008191195555,Benjamini-Hochberg FDR,0.05
PC2,10.1134910958203,Benjamini-Hochberg FDR,0.05
PC2,10.182378803729163,Benjamini-Hochberg FDR,0.05
PC2,14.982184183097974,Benjamini-Hochberg FDR,0.05
PC2,4.22656141841988,Benjamini-Hochberg FDR,0.05
PC2,5.198120999539611,Benjamini-Hochberg FDR,0.05
PC2,17.062409601492355,Benjamini-Hochberg FDR,0.05
PC2,7.618565532872271,Benjamini-Hochberg FDR,0.05
PC2,1.2729909107644417,Benjamini-Hochberg FDR,0.05
PC2,18.327255590274813,Benjamini-Hochberg FDR,0.05
PC2,10.18388752136966,Benjamini-Hochberg FDR,0.05
PC2,12.807810109313168,Benjamini-Hochberg FDR,0.05
PC2,8.362895442287076,Benjamini-Hochberg FDR,0.05
PC2,9.735795410275593,Benjamini-Hochberg FDR,0.05
