ACCOUNTID,game_count
201663424,2970
201760727,2628
201759577,2568
201770930,2427
201819234,2219
201927011,2161
201855975,1935
201351720,1917
201931405,1904
201891194,1844
201763420,1838
201887810,1804
201940913,1717
201806744,1679
201890012,1670
201163803,1668
201896667,1657
201734597,1639
201867694,1618
201885241,1617
201583404,1615
201735627,1615
201818449,1613
201785580,1585
201590427,1572
201992181,1565
200429385,1562
201792629,1545
201891977,1539
201786201,1499
201760408,1495
201824517,1494
200317859,1481
201703933,1480
200311352,1475
201853422,1455
201786208,1450
201716070,1444
201924688,1440
201828321,1439
201312707,1420
201614613,1418
201796471,1417
201792733,1415
201668063,1412
201724069,1408
201734362,1397
201628315,1394
200515249,1393
200079171,1391
201041575,1385
201906673,1382
201861357,1370
201603120,1370
201889090,1365
201944239,1358
201627904,1357
200817754,1357
200010242,1356
201952997,1349
200967724,1345
200818155,1345
201888214,1344
200550887,1342
200681689,1318
201207106,1318
201880793,1312
201879559,1307
201740619,1304
201748500,1300
200135425,1292
201932968,1289
201862629,1286
201853880,1282
200038857,1280
200661831,1280
201824211,1276
201899925,1275
201621055,1266
201940231,1265
201584663,1262
201327366,1261
201882101,1260
201574964,1254
201471520,1249
201096621,1246
201976066,1243
201850834,1234
201768246,1230
201769111,1229
201646274,1228
201602848,1225
201930266,1219
201780170,1213
201258302,1212
201671419,1212
201550796,1212
201804544,1212
201764370,1211
201956893,1210
201812013,1209
201999106,1208
201335401,1208
201528717,1204
200957418,1204
201611398,1203
201762332,1200
201624078,1198
202016240,1197
201252614,1197
201166931,1197
201718928,1187
201801128,1186
201905210,1186
201721458,1180
200120866,1178
201864580,1168
200917833,1167
201153785,1166
200435759,1160
200319866,1159
201917170,1155
201763763,1155
201899642,1153
201915600,1152
201896606,1148
201699897,1143
201720806,1139
201826481,1129
201257553,1129
201863090,1127
200662985,1126
201929837,1126
201083256,1119
201676376,1118
201797053,1118
201882643,1117
200690490,1117
201193599,1116
201637171,1114
201699399,1112
201845115,1111
201808222,1110
201704006,1108
201732735,1106
201875205,1106
201843467,1104
201876890,1102
201828637,1100
201793937,1087
201182926,1087
200941062,1083
201292985,1081
201921094,1080
200717751,1079
201757723,1079
201008170,1078
201998526,1075
201454682,1075
201864119,1072
201983787,1071
200070351,1071
201746535,1070
201911648,1068
201807690,1065
201772118,1059
201735974,1059
201922178,1055
201699801,1054
201872352,1052
201849500,1052
201822277,1050
201582174,1049
201171479,1046
201300198,1043
200877865,1042
201070951,1042
201845636,1042
201832414,1040
201765325,1039
200743409,1037
201692412,1036
201824734,1036
201759736,1035
201653161,1033
201899123,1030
201775217,1029
201733028,1023
201931831,1022
201941813,1022
201683467,1022
201881245,1020
201835271,1019
201914091,1018
201886822,1017
201879224,1017
201905610,1017
200841889,1017
201759610,1017
200154512,1016
201853310,1015
201810079,1013
200045998,1013
201352929,1012
201704385,1011
201876807,1009
200903606,1008
201831435,1007
201821721,1007
201690257,1006
201777982,1006
201957237,1005
201940136,1005
201848720,1005
201743362,1004
201403220,1004
201942357,1004
201679240,1003
201862133,1003
201868595,999
201869860,998
201594246,997
201900624,997
201858251,997
201762853,993
201879815,992
201939919,991
201846569,991
200185731,990
201717612,987
201780447,986
201779203,985
201966948,985
200598859,984
201692682,983
201939486,983
201902756,983
201430241,981
201838215,980
200786311,976
201518685,974
201853583,973
200344274,973
201931131,971
201921277,971
201803058,971
201738888,970
201723211,970
201982104,970
201250155,969
201589651,969
201779895,969
201656285,968
201835007,964
201776559,964
201849821,962
201906735,962
200424297,961
201596003,961
201630175,959
201598199,958
201849787,958
201321182,957
201783339,957
201604376,957
201901345,957
201998863,956
201842701,955
201622321,955
201649500,955
201816236,952
201785978,950
201957247,950
201841891,948
201897791,944
201552765,943
201713729,941
201628255,939
201746001,938
201729037,937
201901044,936
201273710,935
