local_hour,win_rate,n_win_records
0,0.4973783703888102,192819
1,0.49936066295408654,143117
2,0.500986721407392,100839
3,0.5003530277765259,66567
4,0.4988721893772111,42117
5,0.5010727520967427,30762
6,0.49787647566945004,27784
7,0.5021741720276388,33576
8,0.49307932728084536,47033
9,0.49786893592261255,68745
10,0.494161039070839,94623
11,0.4938584053287608,121304
12,0.4949490818371437,146706
13,0.49517650075500724,175495
14,0.4942592140590676,204850
15,0.49770449288568025,228272
16,0.4957544535039321,248849
17,0.4977965083131732,259588
18,0.49686872357925743,261395
19,0.49689275851433795,282083
20,0.49677911426467725,302867
21,0.49639257259411323,302986
22,0.49659885580208696,282993
23,0.4980628214048971,242879
